pair	inflected_pair	Source Language
address question	address questions	As we now begin implementing what has been agreed , it is very important to say that Russia is a strategic partner , but at the same time we also have to speak with one voice and we have to address all the questions -- both the more difficult and the less difficult questions -- which I can assure you we did .
make remark	make remarks	I hope I will get injury time on Mr Muscat 's behalf for saying that , because I now want to make some warm remarks about the rapporteur , Mr Nassauer .
make remark	makes remarks	It makes essential remarks on where European decision-makers need to concentrate their efforts in the coming years .
address problem	address problem	If there is a real problem for young farmers in a Member State , the national strategy should address it and propose the appropriate measures .
address problem	address problems	However , I am prepared to consider one exception to this principle : when a young farmer takes over a farm that has problems in meeting one standard or another , he can identify this deficit in his business plan and provide for the action needed to address the problems .
stimulate debate	stimulating debate	However , we should certainly question the credibility of the European Council in stimulating and managing the great debate about the social and economic future of Europe .
address question	address question	The question we address is what the political profile of our relations should be 10 years after the signature of the 1995 New Transatlantic Agenda and fifteen years after the 1990 Transatlantic Declaration .
address problem	addressing problems	Parliament 's Committee on Women 's Rights and Gender Equality , as well as the Commission , strongly advocate the principle of gender mainstreaming , an approach which is very useful for addressing the specific problems of women , particularly as part of social inclusion policies .
make remark	made remarks	. -- Mr President , I do not want to say very much about this report other than to echo some of the remarks that have been made by the rapporteur .
make remark	made remarks	If I may , I would like to link that point to some of the important remarks that the President-in-Office made this afternoon .
pose question	posing questions	People in Europe are posing hard questions to us .
misinterpret word	misinterpreted words	Very few politicians will wish to speak out against such proposals , for fear that their words may be misinterpreted , but there is some concern that the link between the use of phthalates in toys and a risk to children has not been firmly established .
address problem	address problems	Without adequate funding for LIFE + , the positive steps to address these problems since the introduction of the current programme in 1992 will be reversed .
address problem	address problem	I welcome the steps that the Commission has finally taken to address the problem but I wonder what makes them so confident that a few years ' breathing space will really make any long-term difference .
address problem	address problems	At a time when the international community is galvanised to address the endemic problems that Africa faces , it is only appropriate that we look beyond poverty relief to the maintenance of good governance , transparency , the rule of law and respect for human rights for all African countries .
understand meaning	understood meaning	After 30 January 2000 , they understood the meaning of ' environmental policy ' : to prevent pollution of this kind , in which 100 000 m3 of hazardous sludge leaked into the River Tisza , destroying its flora and fauna .
address question	address questions	We need to have a policy to address these questions and to take them forward .
address question	address question	I would like any policy on tourism to try and address this question , because balanced regional development has been a priority in EU policy and I have always believed that this should also be linked to tourism policy .
address question	address question	But will he accept that this is only a necessary , not a sufficient , condition and that Croatia also has to address the question of the Krajina Serbs and other major issues before we can enter into detailed negotiations about membership ?
address problem	addressing problems	Ten per cent of the world 's biomedical research funds are dedicated to addressing the problems that are responsible for 90 % of the world 's burden of disease ; that is the imbalance .
address problem	addressed problems	It is clearly desirable that Member States share information and best practice on how these problems should be addressed and sections of this report do provide some useful ideas .
make remark	make remarks	I will make three remarks .
address problem	address problems	We are trying to address the problems we have uncovered this year and help the Greeks .
address question	address questions	I shall also address some of the specific questions that were raised .
stimulate debate	stimulating debate	That Green Paper is currently stimulating considerable and -- I would suggest -- welcome discussion and debate as to how barriers can be overcome in order to deliver significant energy savings by 2020 .
address problem	addressed problems	If there are problems that should be specifically addressed , for example if there are concerns over the poor and vulnerable and disadvantaged , then we should use alternative social measures to assist them and not fall for the short-term fix of cutting tax .
make remark	made remarks	I would refer him both to my introductory remarks and the remarks I have just made .
address problem	addressed problems	In my country and in most of the new Member States , there are serious large-scale problems that need to be clearly addressed with comprehensive interventions such as economic and social actions , aimed at the revitalisation of deteriorated inner cities and the renovation of large post-war prefabricated housing estates .
make remark	made remarks	I find it extraordinary that I should have to justify remarks I made on an incident that raise questions about its compatibility with Article 49 of the Treaty .
pose question	posed questions	Nevertheless , I should like to respond more precisely to the questions posed , in particular by Mr Schulz , who cited questions by Mr Rasmussen .
address question	addressed questions	It is not just a case of my staff constantly having dealt with these issues and addressed these questions at every level ; we have also made it perfectly clear that , if these projects are blocked and can not be completed shortly , then there will be no funding for them .
address problem	addressing problems	This is clearly , therefore , the structure we should use in addressing global problems such as poverty .
address problem	addressing problems	The European Union is the largest contributor of development aid in the world and therefore must continue to show real leadership when it comes to addressing humanitarian and development aid problems in the world .
corrupt mind	corrupt minds	Owing to technological progress , those ideas on children 's rights must now also be linked into cyber security , as we have seen the Internet -- despite its wonderful intent , brilliant innovation and the opportunities it presents to us all -- being used by people who wish to corrupt innocent minds and pervert the use of the Internet through trafficking in paedophilia and child pornography .
invest money	invested money	I am pleased and relieved to hear the Commissioner 's response because I have been lobbied by European retailers who have invested considerable money in Asia , have improved health and safety conditions and working conditions in Asian countries , and are bringing economic benefits both to Asian workers and to European retailers .
damage confidence	damaged confidence	I strongly hope that Iran will recommit itself to these processes and seize the opportunity to clarify its position , dispel misunderstandings and start restoring an overall confidence that has been badly damaged by recent remarks .
address problem	address problem	But once again , the EU assumes the attributes of a political state in order to address this problem and its pretensions are fully supported by a minister of Her Majesty 's Government .
make remark	made remarks	Indeed in the remarks that were made by my ministerial colleague the Foreign Secretary in this House this afternoon , he made clear that ' failure to sign off accounts for the eleventh successive year , which is very poor , affects the climate of debate in all our countries ' .
make remark	made remarks	. We wish to express our unequivocal criticism of the appalling and irresponsible remarks about Israel made by the President of Iran .
damage confidence	damage confidence	I fear that if meat potentially contaminated with low pathogenic avian influenza were to reach the food chain , it would damage consumer confidence in poultry meat and products in general .
address problem	address problems	There is no specific restriction on the pharmaceutical products covered , although there is acknowledgement that they are required to address public health problems , since that is in the context of the decision .
address problem	address problem	To address that problem , the Commission presented a new legislative proposal for batteries in 2003 that would extend the scope of existing Community legislation from batteries containing certain dangerous substances to all batteries placed on the Community market .
make remark	making remark	I believe that is absolutely right , but could you confirm to me and colleagues whether , in making that remark , you feel that you are just saying that on behalf of the Presidency , or are you speaking on behalf of the Council as a whole ?
manage job	manage job	If I do not manage a job in Brussels airport , perhaps I will manage one in Frankfurt airport , to where I often have to travel , given the length of the questions I face here in this Chamber .
address problem	address problems	My concern is two-fold : first , the extent of redundancy in the text -- there may be circumstances in which repetition is used to good effect , but I do not consider that this is one of them ; secondly , the range of issues covered -- I believe that the European Parliament should be taking seriously all aspects of the lives of women in the fisheries sector and doing its best to address the problems that affect them .
pose question	poses question	Uncertainty over funding -- not least as we await a new EU budget -- poses the question of whether more funds can be made available , and if so , how they should be allocated .
make remark	make remark	He had his full time , I did cut him off and I did make a remark concerning the case that he had raised , in a personal capacity .
pose question	posed questions	I will conclude by saying that what we heard from Mrs Gomes was most disturbing and serious and I hope the Commission will be able to give answers to the questions she posed .
make remark	making remarks	In conclusion -- and I am very much aware that I have not responded to many of the points made or taken up a number of the points -- NAMA is an important issue ; I shall address these other issues in remarks I shall be making in a week 's time -- let me just say that these multilateral trade talks are very important .
make remark	make remark	I would like to make a factual remark concerning the statement that the Court of Auditors has rejected our accounts .
stimulate debate	stimulate debate	What more can political parties and NGOs do to raise public awareness on European issues and stimulate public debate ?
address problem	addressing problem	I wish to thank the Commissioner warmly for the efforts she has invested in taking us this far in addressing this crucial problem .
make remark	make remarks	I would like to use this opportunity to make some general remarks about communications in general .
address problem	addressing problem	We have an old saying in Scotland that you can not polish a turnip and no amount of presentation will disguise the fact that the EU has a structural problem which we are not addressing .
address problem	address problem	However , we have abstained on this report as it is a missed opportunity to address a serious problem .
improve economy	improve economies	Instead , why do we not help to improve the economies of our European neighbours and of Third World countries by opening up free trade opportunities to them ?
address problem	address problems	I support the establishment of human rights subcommittees under EU third country agreements , to be responsible for reviewing compliance with the clause , monitoring its application and implementation , and proposing actions to address democracy and human rights problems .
get disease	get diseases	There is a clear link between exercise and health , in terms of the diseases you might get if you do not move properly .
address question	address questions	So we care very much about what you have said , but we also believe that the various types of sources should be combined to address both questions which I underlined , one being the question of aiming for the top , of having the best for Europe ; and the second , the question of how to deal with the others which may not be in the best position today .
address problem	addressing problems	It is crucial that one reads carefully the cohesion guidelines prepared by the Commission , which try to give a clear message that the Member States , in addressing their problems in the regions , need to take into account the structural and cohesion funds which are important in this respect for catching up with the Lisbon goals .
invest money	investing money	It is obvious that cooperation at EU level could show the best ways of using and investing the money .
invest money	invested money	In the European Union , approximately 55 % of private money is invested , compared to 45 % of public money .
address problem	address problem	The problem exists independently of the problem of depleted stocks , and we need to address it if we want to regain sustainable fisheries in the long-term interests of the fishermen themselves .
make remark	made remarks	I was very happy with some of Commissioner Verheugen 's remarks this morning , which were made more from the perspective of industrial policy .
address problem	address problem	It became evident that we needed to address this problem , despite it not being entirely new .
attract worker	attracted workers	Thirdly , skilled workers from third countries should be attracted , but according to our working group , we should not consider immigration as a single solution to Europe 's future demographic and labour market problems .
address problem	addressing problems	What seemed like an extremely logical system at the time to the majority of Parliament -- not to all of us -- has real problems that need addressing .
make remark	made remarks	Let me say that I am very happy with the statements of nearly everybody in this debate , especially the remarks that have been made about this portfolio .
make remark	made remarks	We may not agree completely at every moment , on every subject , every dossier ; I do not agree with a couple of remarks that were made this evening because the way they were put does not reflect the truth and is not realistic .
address problem	address problems	The strategies were designed in order to address these problems but the situation is getting worse .
attract worker	attract workers	The rich world can attract health workers from other countries ; the consequences for poor countries is that they train health workers who leave the country , effectively providing a perverse subsidy to health services in developed countries , by shouldering the burden of training costs .
address problem	address problem	We must address this problem urgently .
address problem	address problem	As you know , we agreed on the need to address that problem through a whole range of measures .
saturate market	saturated market	The problem is that if you put a lot of extra chicken meat on to the world market -- which is already saturated -- and if you are not careful about using public funds to subsidise it , you may find that meat comes back to the European market .
address problem	address problems	I do not want to bind their hands , but I have clearly said that it is important that we try to address the problems upstream .
address problem	address problem	If we deregulate as much as possible in the developing countries , we will have a chance to address this problem .
address problem	address problems	We urge the Turkish Government to address in a comprehensive manner -- and not only from the security point of view -- the problems of this region and of its people , who are for the most part of Kurdish origin .
end agreement	end agreement	We therefore have to end the 1959 agreement between the International Atomic Energy Agency and the World Health Organisation as provide in Article 12 of that agreement .
address question	address question	The Quartet meeting on 9 May is an opportunity for the international community to address this question , as well as measures Israel could take to ease the humanitarian situation .
address question	addressing questions	Before addressing the institutional questions , I would like to mention two more areas where further action is proposed .
stimulate debate	stimulate debate	We must stimulate the widest possible debate .
address problem	addressing problem	We are addressing this problem inside our institutions and in accordance with our laws and regulations .
make remark	make remarks	I should like to make a few brief remarks before , with your permission , giving the floor to Mr Rehn , who will comment in more detail on the Commission 's findings in the monitoring report .
pose question	poses questions	The public consultation poses a number of questions .
pose question	pose questions	While there is a debate on the ethics about how animals are being fed , it must be borne in mind that the alternatives sometimes pose even bigger ethical questions .
address problem	address problems	We would point out ; however , that the compromise deal struck between the parties fails to adequately address the problems that confront the European Union today .
invest money	investing money	. -- I agree with the honourable Member in that ideally , of course , an internal market covering almost the whole of Europe should have tax rules in place ; but these also need to be effective , and neighbouring countries and , if possible , countries outside the continent need to apply the same rules , otherwise we hand the EU public the possibility of investing its money abroad , where such rules do not apply .
reduce price	reduce prices	This means that the Energy Community could bring much more stability -- at least to prices -- and could even reduce prices for consumers .
read book	read book	-- Mr Verhofstadt , I believe that today you have written the next chapter of your book , which I , like many others , read with great attention and pleasure .
address problem	address problems	We have now at least established a contact group to address both old and new problems , and have proposed to the US government to include an investment paragraph in the summit declaration regarding the importance of an open transatlantic investment climate .
address problem	address problems	There is an urgent need to comprehensively address the multiple problems in the inshore fishing sector in the European Union .
read book	read book	Mrs van den Burg asked if I had read Mr Seifert 's book .
address problem	addressing problem	I feel that emission charging and emission trading licenses is an appropriate way of addressing the problem .
stimulate debate	stimulate debate	The Commission is convinced that Parliament will help to stimulate this debate as usual in institutional matters .
address problem	addressed problems	The undertakings given by Mauritania have , in the Commission 's opinion , addressed all the main problems that the country is facing .
address question	address questions	I hope they can address the issue of hostages and detainees , as well as other pressing questions of violence , access and finances .
make remark	make remarks	Let me make a few strategic remarks at the outset .
make remark	make remarks	I am honoured by the opportunity to make a few remarks .
address problem	address problem	-- Achieving a European common policy on immigration and asylum is undoubtedly a priority , although the Member States have so far shown varying degrees of willingness to address the problem .
address problem	address problems	Indeed , our challenge has been to balance the necessity to help the segments most affected by high oil prices with the need to address long-term structural problems .
make remark	make remarks	I will also make a few remarks about relations between the European Union and Russia .
pose question	posed question	Concerning the great question posed by Mr Radwan and others about this question of convergence and equivalence , let us see where we are in the few short years hence .
address question	address question	I will not try to address every question separately ; that would be an impossible task , given my limited speaking time .
address problem	address problem	But it is not yet possible to address the problem on a wider scale through the normal regulatory process .
organise production	organise production	I take this very seriously indeed , because I do not want my actions , as agreed by the Member States , to have the effect of making a bad situation worse by further disrupting or undermining the ability of companies to plan ahead and to organise their production , which , of course , is hampered if supply and production chains are undermined or disrupted by interventions such as these .
make remark	make remarks	on behalf of the Verts/ALE Group . - ( DE ) Mr President , ladies and gentlemen , as foreign and security policy coordinator for the Group of the Greens/European Free Alliance , I should like to make a number of critical remarks .
make remark	make remark	If so , I make a further remark in closing my decision .
make remark	made remarks	It is not possible for me to cover all the remarks that have been made , but let me address some of the issues .
address problem	addressed problem	However , the problem can not be addressed from that angle .
address problem	address problems	To a certain extent , patient mobility can address some of these problems , but this is not always the solution .
make remark	make remark	I should like to make a personal remark .
stimulate debate	stimulating debate	The European Parliament and civil society actors have traditionally played a crucial role in both supporting the abolitionist efforts of the European Union and in stimulating the debate on the means to enhance our policy .
address problem	address problems	Accordingly , my departments are now examining the costs and benefits of such a statute , as well as alternative measures to address the problems at stake .
address problem	addressed problem	This is a problem that has never been addressed with the urgency it deserves , despite the fact that a country of Malta 's size lends itself more easily to the development of creative alternatives .
stimulate debate	stimulate debate	With the Green Paper , the Commission intends to stimulate a debate over the use of trade defence instruments in Europe : countervailing , anti-dumping and safeguard measures .
address problem	address problem	, in writing . - ( HU ) In spite of increasing evidence pointing to the fact that natural energy sources have been used irrationally and excessively , and that daily life has become part of the worry about the sustainability of the natural environment , today humanity , and especially political leaders , lack a clear conception of how to address the problem .
make remark	made remarks	We hear some criticisms of your first year in government , but we recall the faint hearts who made similarly dismissive remarks about your first year at the Commission .
address question	addressed question	At the same time as being fair and credible we can be firm and rigorous , and we can expect Turkey to carry out reforms and respect citizens ' rights so that , for instance , the Kurdish question can be addressed or women 's rights , trade union rights and freedom of expression can be enhanced in Turkey thanks to the credible prospect of EU accession .
address problem	addressing problems	I fully support the Presidency in calling for a ' dispassionate dialogue on the matter ' , addressing the problems ' in a spirit of understanding and mutual respect ' .
address problem	address problem	On the basis of this report we have considered that the best way to address the problem is to add incentives to increase the number of producer organisations in the new Member States , which is what we did in our original proposal .
make remark	made remarks	As I say , it has been very balanced , and I will certainly ensure that I and my services take into account fully the remarks and observations that have been made by Members of this House this evening .
address problem	address problems	It is our duty to address the problems of the poorest in Europe .
pose question	posing questions	Why am I posing so many questions now ?
damage confidence	damaged confidence	And I do hope that the reform aspect that we have really tried to promote will go on in the future , otherwise confidence in the Georgian Government will be very much damaged if the current crisis can not be solved in a democratic way .
address question	addressed questions	As far as transatlantic cooperation is concerned , we maintain regular contact with the United States authorities responsible for monitoring safe harbour - the Department of Commerce and the Federal Trade Commission - in the context of which questions relating to the protection of personal data are addressed .
invest money	invest money	Our aim should be to put Europe 's money where its mouth is , to invest money in high-voltage solar thermal power generation and political capital in the human relations across the Mediterranean Sea to make it possible .
address problem	address problems	However , it falls short in providing some safeguards relating to refugee and human rights , and fails to address the specific needs and problems of Member States like Malta , which are being affected to a disproportionate degree relative to their size , population and resources .
address problem	address problems	The reason for that is the depth of the analysis that had to go into the proposal , to guarantee that it is a really effective instrument to address the severe problems the sector is facing .
address problem	address problem	This is why I need to make it abundantly clear that we need to really address the problem .
address problem	address problem	Concerning the Irish court ruling , we shall analyse how the definition of workers as self-employed potentially impacts on the application of this measure , and will seek a solution in order to address the specific problem concerning Ireland .
address problem	addressed problems	We will have a real effective reduction of capacity but at the same time we will also have properly addressed the fuel problems .
address problem	address problem	But it highlighted to me , in a simplified form , the problem that we are trying to address with this revision : as Commissioner Mandelson said , a revision that goes back some 20 years or more .
make remark	make remarks	Allow me also to make a couple of final remarks in that introductory statement .
address problem	address problem	I warmly welcome the comprehensive report which calls upon all Member States to address the problem in question with utmost seriousness .
address problem	addressing problem	The full implementation of the anti-corruption programme and action plan is key to addressing this serious problem .
attract worker	attract workers	The solution can not simply be to attract health workers from developing countries , where the shortage is even greater .
address problem	address problem	These include , for example , the question of how we can create the right work environment for workers in order to keep them in their home countries and , also , how we address the very serious problem of the brain drain .
make remark	make remarks	author . - Mr President , before we vote on the resolution I tabled on the accession process for the former Yugoslav Republic of Macedonia , I wish to make three technical remarks so that everybody can decide on the correct texts .
address problem	address problem	What I really appreciate today is that all of us recognise that we have a problem and that we are ready to address this problem .
address problem	addressed problems	I hope now that the myriad problems created by the various Spanish authorities will be addressed and that such will be promptly resolved in the best interests of my constituents .
make remark	make remarks	I would now like to make a few remarks on the external security part of the new agreement , where the Presidency also plays a role in the negotiations .
address problem	addressed problem	in writing . - ( DA ) We voted in favour of the report on educating the children of immigrants , as the report addressed a current and relevant problem .
address problem	address problem	I think most European consumers would be genuinely shocked to realise that the EU does not already have in place legislation against illegal logging , and I suspect that all those who concluded , in response to the Commission 's own consultation , that legislation was the only way to really address the problem would not see the particular proposals by the Commission , the due-diligence system on its own , as sufficient to be able to address the problems that we face .
address problem	address problems	I think most European consumers would be genuinely shocked to realise that the EU does not already have in place legislation against illegal logging , and I suspect that all those who concluded , in response to the Commission 's own consultation , that legislation was the only way to really address the problem would not see the particular proposals by the Commission , the due-diligence system on its own , as sufficient to be able to address the problems that we face .
address problem	address problems	But we can only work by virtue of the people who come to us with problems and address them and their particular needs .
make remark	made remarks	One of the remarks that have been made by several members is about the fact that a lot of Member States are in fact backtracking on their Official Development Assistance ( ODA ) engagements .
address question	addressed question	Therefore we have addressed this question , and I am very happy that in the summer , we received a letter from Commissioner Barrot expressing the European Commission 's concern about this law , saying that the European Commission will keep a very close eye on it and make sure that any national legislation is in line with European legislation and principles .
address problem	address problems	I am in favour of all other efforts in terms of the combined platforms you have suggested to address the problems we face .
address question	address question	We will , however , prepare a final assessment once the final rule on ESTA has been published , and this evaluation will also address the question of the ESTA fee if the fee is really put into place .
make remark	made remarks	I also thank those that have made constructive critical remarks about the work of the Ombudsman .
make remark	make remarks	I would like to make one or two remarks about some elements of my own report and particularly to highlight our negotiations with the Council - Mr President , unfortunately you have not had a chance to speak , but you were deeply involved in these - which achieved significant advances in the areas of data breach and particularly issues around the use of cookies and the rights that consumers have to refuse devices that may collect information on their computers .
pose question	pose questions	Mr President , I particularly wanted to be here this evening because I think that this is Mrs Kuneva 's last opportunity to speak to us as Commissioner , and I wanted to pose two questions .
make remark	make remarks	Mr President , ladies and gentlemen , before turning to the debate , I would like to make some essential introductory remarks .
address problem	address problem	In order to address this ongoing problem , the Council entered into an Interinstitutional Agreement in 2006 which obliged them to produce certification for those transactions for which they are responsible .
address problem	addressing problems	Mr President , Commissioner , Mr President-in-Office , to start with the question of the enlargement strategy , I should like to say that , judging from enlargements to date and from how we approach new candidate countries , I think that the policy of the European Union does not always help in addressing the economic and social problems of the workers and of the societies which have acceded or will accede and , in numerous cases , assistance , financial and otherwise , is either inadequate or goes in the wrong direction and , as a result , regional and social equalities are either perpetuated or extended .
make remark	make remarks	Bosnia has been taken up by several people , such as Mrs Pack and Mr Swoboda , and let me just make a couple of remarks there .
address problem	addressing problems	None of the EU 's Member States are succeeding in addressing these problems on their own .
address problem	address problem	He is fully aware of the problem and he has shown us his determination to address it .
address problem	address problem	This is indeed a problem that we have to address in a spirit of global fairness .
address problem	addressing problem	That is why the High Representative , Cathy Ashton , called for this extraordinary Council meeting , which was a very useful tool in addressing the problem .
make remark	made remark	Mr Cashman made a remark with respect to discrimination .
address problem	address problems	Nevertheless , the Commission , in cooperation with the Member States , will examine the possibilities of how to further improve tax recovery assistance and address the eventual problems .
address problem	address problem	We needed specific legislation to address this problem , as they have in the United States and in parts of Spain , and it works there very effectively .
make remark	make remark	The second remark I would like to make concerns the support from the EU for the adoption by the plenary of the reports of the Universal Periodic Reviews concerning states that went through this process in December .
make remark	made remarks	As is too often the case when rail accidents happen , remarks alleging a link between European rules or regulations and the accident are made .
make remark	make remarks	But I would just like to make some factual remarks .
make remark	make remark	I would like to make one more remark about liberalisation and public services : these are two different things .
make remark	made remarks	As is all too often the case when rail accidents happen , remarks alleging a link between European rules or regulations and the accidents have been made .
make remark	made remarks	Mr Nattrass made some very personal remarks against me before sneaking out of the Chamber without listening to the debate .
address problem	addressed problem	As I have already told you at my hearing , that problem will be addressed in the upcoming revision of our customs legislation .
address problem	address problems	That means you use the tools that you need to be able to address the problems that people face .
address problem	address problem	We know that the Mexican authorities are taking this seriously and have put in place a lot of measures to address the problem .
address problem	address problems	The justice reform passed by the Mexican Congress in 2008 has the potential to address the main systemic problems facing criminal justice in Mexico , although we are aware that the implementation of this reform will require a long-term commitment .
address problem	address problems	This is something we must do in order to help Member States to address emerging economic problems at a much earlier stage .
stimulate debate	stimulate debate	The Annual Statement of the Commission on the euro area aims to stimulate a broad debate on euro area economic policies .
address problem	address problems	However , in seeking to address these problems , the crisis must not be used as a pretext for extending further the powers of the European Union .
pose question	posed questions	Let me turn to four questions that have been posed .
address problem	address problem	I did pick up on , and will take away from this debate , the frustration of honourable Members who have raised the need to work quicker and further to address this problem and to recognise what is absolutely the most significant point of this , which is that this is not a bilateral issue , but a European Union-Canada issue , and we need to address it as such .
make remark	make remarks	Madam President , I do not want to repeat what my fellow Members quite rightly said before me , but rather make a few general remarks .
make remark	make remarks	I would like to make a few general and a few specific remarks regarding the plan .
address problem	address problems	It seems that , for some , a centralised European economic ' government ' is indeed the ambition , but this would not address the problems we face : it would be bad for our citizens , for our Member States and , I say , for the European Union itself .
address problem	address problems	To seek to address these problems by creating an EU-wide database is , however , a mistake .
make remark	make remarks	I shall make five very short remarks .
make remark	make remarks	I would like to make three very short remarks .
address question	address questions	The planned mission by Eurostat to Bulgaria foreseen for the second half of this year will not address the differences and questions concerning the 2010 outlook .
address problem	address problem	Given the strong convergence of objectives between the overall EU Disability Strategy and the UN Convention , what action will the Commission take to address this problem and ensure that EU funds are not used in this inappropriate way , but are rather directed towards the provision of community-based living for persons with disabilities ?
address problem	address problems	The BONUS initiative would clearly help the countries of the Baltic Sea region to address more effectively the very complex and pressing environmental problems in this area by promoting synergies and avoiding the wasteful duplication of purely national research efforts .
invest money	invested money	For these Member States , the cost of extending maternity leave will be money well invested rather than a burden .
make remark	make remarks	I want to make a few comments , responses and remarks on the debate and reports , and I will begin with the international scene .
make remark	make remarks	I should like to make my remarks in the light of three important upcoming events : the EU-Ukraine Ministerial meeting which will take place in Luxembourg on 26 October , the local elections which will take place on 31 October , and the 14th EU-Ukraine Summit which will be held in Brussels on 22 November .
make remark	make remark	The second remark I would like to make is about an amendment introduced by Mrs Muscardini , which , in fact , proposes that this ' made in ' regulation would be a kind of pilot project that would be evaluated after a four-year period and perhaps changed .
make remark	make remarks	The agreement is not yet initialled and you have the possibility tonight to make your remarks before we even do the initialling and before we even decide to initial the agreement as such .
address problem	address problem	It is a serious problem and it is a problem that you have to address .
address problem	address problems	The RoHS Directive was designed to address the specific problems of a specific waste stream and I think that we have missed an opportunity to move it forward substantially by adding further restrictions .
pose question	pose questions	( HU ) Mr President , indeed , it was this issue that I wished to pose further questions about and comment on .
address problem	address problem	Only then can concrete steps be taken to address the problem .
address problem	addressed problem	We are , of course , entering a period of intense debate on the future of the CAP , and I believe that this is a fundamental problem that should continue to be addressed in the context of a revised EU agricultural policy after 2013 .
address problem	address problems	What we have to do now is recognise the specificities of the situation in the euro area , to address the problems and ask all the Member States to give a commitment to work collectively : those who are in the euro area and those who are not .
invest money	invest money	Saudi Arabia can surely invest a bit of its own money in doing these things .
address problem	address problems	Regarding exchange rates , as you know , the European Union was in the front line at the last G20 attempting to ensure that this issue is addressed constructively and cooperatively , because we believe the matter should also be discussed when we address the problems of major imbalances in the world economy .
address problem	address problem	Let us try to build the necessary consensus , because I think that this is one of the ways to address our current problem .
improve economy	improve economy	This money is not going to improve the economy of those Member States , nor is it going to provide jobs for those who are losing them , but if kept in Britain , it would avoid the need to increase the tuition fees , for example .
address question	addressing question	author . - Mr President , I think the importance of the question that we are addressing tonight is the fact that this committee continues to be extremely vigilant about issues related to the safety of toys , as indeed it does on the whole gamut of consumer goods .
address problem	address problems	The terrible risk is that , despite the talk about building Europe , it may in fact be undermined , and while hoping for a stronger Europe , the failure to address its underlying economic problems will in fact just make it weaker .
address question	addresses question	This is a specific step which addresses the question raised today .
address question	address questions	Let me address briefly some questions which were raised during the debate .
address problem	address problem	Are any targeted Community actions being developed to address the problem of low national investments in networks , especially for geographically isolated regions ?
address problem	address problems	The Communication highlights existing best practice developed by the Member States to address the main problems linked to the operating cost and telecom cost of the 116 000 hotline .
address question	addressed question	I can assure you that this year , as well as with the funding next year , we will put the emphasis on making sure that this question of protection is addressed and that the EU is there for people .
address problem	address problem	The decision on whether and when to open Article 260 proceedings against Italy will depend mainly on the content of the waste management plan and the timing of the measures used to immediately address the problem in a convincing way .
address question	address questions	I will address some of your questions which you have already raised in my closing remarks .
address problem	addressed problem	The existing situation : While the Commission is doing an assessment of the progress on education , I call upon the Hungarian Presidency to ensure that this problem will be addressed seriously also in the Council .
address problem	address problems	However , in spite of the evidence and its recognised importance , the Black Sea area still does not enjoy the attention it deserves from the EU - an EU which was , in a way , compelled to address these problems once Bulgaria and Romania had become members in 2007 .
make remark	made remarks	rapporteur . - ( DE ) Madam President , Mr Potočnik , I support the final remarks that you made , in particular with regard to resource efficiency .
make remark	made remarks	in writing . - ( DE ) Last year Tamás Deutsch made some remarks during a radio programme which have led to him being charged under Hungarian law .
address problem	addressing problem	The directive presses all the right buttons and goes some way towards addressing the problem .
