pair	inflected_pair	Source Language
tackle issue	tackled issue	The fact that the Irish presidency has highlighted the drugs issue and that all of the Members who spoke here this morning , nearly the majority , considered drugs a priority issue to be tackled by this presidency in an effective way gives carte blanche to the Irish presidency to go ahead and deal with this issue as they see fit .
tackle issue	tackle issues	Let me put on record that it is important that we tackle issues of real importance to people in Europe , not just the global issues , not just the grande politique , but real issues that affect real people 's lives .
tackle issue	tackled issue	Within these 12 key priorities , my colleagues and I will make sure that the issue you have raised is tackled satisfactorily and that the Commission makes no recommendation to start the accession talks unless questions , such as the one you raised , are dealt with satisfactorily .
tackle issue	tackle issues	Health budgets are notoriously overstretched , and there are far more important health issues to tackle than giving subsidies to big pharmaceutical firms .
tackle issue	tackle issues	We can do our best , but what we need from the Greek authorities is a clear show of unity , and a clear show of resolve to tackle the difficult issues in that country .
tackle issue	tackling issue	Mr President , I wish to thank the Commission for the vigour it has exercised in tackling this issue of salmon in Scotland .
tackle issue	tackles issues	I am voting for this own-initiative report since it tackles the current issues in the interminable debate on the ratings industry : specifically , the lack of competition , oligopolistic structures , and the lack of accountability and transparency , primarily as regards rating sovereign debt .
tackle issue	tackle issue	Basically , what I am saying is this : we need to tackle this issue head-on .
tackle issue	tackled issue	This issue can not be tackled appropriately by EU legislation alone , but needs to be discussed at a global level .
tackle issue	tackled issue	That issue must be tackled by this IGC .
tackle issue	tackled issue	I want to ask the President-in-Office to take up the hard option which in our view accompanies the opening conference and that is to begin the process of discussing the complex issue which was not concluded at Amsterdam and which the Luxembourg summit at least had the grace to admit must be tackled .
tackle issue	tackled issues	The future of the common agricultural policy and structural funds , together with the obvious need for a bigger budget in an enlarged Union , are all difficult political issues which should be tackled in parallel with the Intergovernmental Conference .
tackle issue	tackled issue	There is one extremely important issue that must be tackled in the framework of the new cooperation agreements and that is the issue of arms sales .
tackle issue	tackle issue	In a nutshell , the report fails really to tackle the issue and assembles bits and pieces alongside the present existing possibilities to put culture on the agenda both for the EU and between the EU and third countries .
tackle issue	tackling issue	It is also about our creativity , our coherence , taking seriously the interests of our partners and being ambitious as far as opening our trade market and tackling the mobility issue are concerned .
tackle issue	tackle issues	On 15 January , the government presented an ambitious stability programme intended to tackle these issues .
tackle issue	tackled issues	Let us hope , however , that the signature of the memorandum in Sharm el-Sheikh will reinvigorate the peace process and ensure that the outstanding issues on final status are tackled without great delay .
tackle issue	tackling issue	The DAPHNE programme helps in tackling this issue across the EU and those who fail to support this report today should be condemned .
tackle issue	tackling issues	The setting up of an agency specifically created to address all legal and illegal immigration would be highly instrumental in tackling these issues in a comprehensive and integrated manner .
tackle issue	tackle issues	The European Union must of course tackle these issues , including financial stability .
tackle issue	tackling issues	As the country prospers internationally , the gap between the rich and the poor within its borders is widening and I therefore support this report 's emphasis on tackling trade and development issues together .
tackle issue	tackling issues	And in a sense , it comes into building the different elements of what we do well - the work we do on state-building , on justice , on the rule of law , the work we do on development programmes , the work we do on tackling the issues of climate change , the work that we do on providing support to governments and to people - all of that is engineered to make us more secure , stable and prosperous but actually , by doing so , we are creating a more secure , stable and prosperous world .
tackle issue	tackled issues	Global issues such as terrorism and health threats could only be tackled through the multilateral international system , with the UN at its core .
tackle issue	tackled issues	In May 2006 , the Commission adopted a communication on decent work for all , which will be presented at the Commission Conference on Decent Work and Globalisation in December , where the issues will be tackled in a comprehensive framework .
tackle issue	tackle issue	This demonstrates that the subject is of a global nature and the Commission believes that the best way to tackle this issue is to find global and coordinated solutions .
tackle issue	tackle issue	As you have listened to the opinions here , you will agree with me that the most difficult issue we have to tackle is the issue of admissibility - how we can find a solution which would avoid the frustration of citizens , how we can protect EU values , and how we can keep this institute of the European Citizens ' Initiative serious and real .
tackle issue	tackling issue	I voted in favour of this motion for a resolution , because we must ensure that both practical and moral priority be given to tackling the issue of human trafficking and the way in which this trafficking is used as a resource in the labour market .
tackle issue	tackle issues	I would like to tackle some of the issues that were raised , in the couple of minutes I have been afforded .
tackle issue	tackle issue	What plans does the Presidency have to tackle this issue ?
tackle issue	tackling issue	The fifth question related to how the Commission is tackling the MIF issue for card payments .
tackle issue	tackled issues	Firstly , I would applaud the fact that at the G20 meeting , such important issues were tackled as sustainable economic growth , employment and potential climate change phenomena , which could threaten the habitability of our planet .
tackle issue	tackle issues	But before we have a true Community method to tackle these issues , we at least expect Member States to cooperate well among themselves .
tackle issue	tackle issues	Our strategic partnership is strong , and this permits us to tackle all issues , including the most sensitive ones .
tackle issue	tackle issues	It seems that there is a lack of political will on an EU level to provide adequate resources to tackle these issues in a fair manner .
tackle issue	tackle issues	It is only by unlocking people 's imaginations that we can tackle the major issues facing us today , such as climate change , social exclusion , demographic change and unemployment .
tackle issue	tackle issues	In particular , if it is to contribute effectively to the development of a single , competitive , energy market , the Agency needs more powers to tackle cross-border issues and encourage effective cooperation between transmission system operators ( TSOs ) and national regulatory authorities ( NRAs ) .
tackle issue	tackled issues	The priority issues to be tackled in the review are , therefore , the harmonisation and extension of the scope of the directive , further harmonisation and more predictability of the cap-setting and allocation process -- including consideration of competitiveness , more robust compliance and enforcement of the rules and the linking to trading schemes in third countries and increased involvement of developing countries .
tackle issue	tackling issue	We must ensure that any EU directive tackling this issue contains no loopholes and that it is satisfactorily implemented in all member states .
tackle issue	tackle issue	It is true , as you rightly pointed out , that China is still a major source of counterfeited cigarettes , so we have to work in close cooperation with them in order to tackle this issue .
tackle issue	tackled issues	There is also an instinctive sense that these issues can only be tackled effectively at European level .
tackle issue	tackling issues	It is for that reason that the Commission has suggested that the participation in the human rights consultations should be widened to include not only diplomats but also experts from line ministries and agencies responsible for tackling these issues on the ground .
tackle issue	tackled issues	The request for the Commission to draw up an action plan to define the issues to be tackled deserves careful consideration .
tackle issue	tackle issue	Does the Commission have any plans to enable , or indeed force , Member States to increase their checks at external EU borders , in order to tackle the issue of customs fraud ?
tackle issue	tackle issues	Our strategic partnership is strong , which permits us to tackle all issues , including the most sensitive ones .
tackle issue	tackling issue	Within the framework of its legislative proposal , the Commission will therefore include a biofuel sustainability scheme designed to ensure that the biofuel sector plays its part in tackling this issue .
tackle issue	tackle issues	Having such a strong strategic partnership would and does definitely permit us to tackle all issues , including the most sensitive ones .
tackle issue	tackling issue	But I agree that we need to be tackling this issue all the time , coming up with proposals and looking for new openings , because global trade will definitely benefit the global economy and this is what most of the world economy needs at this moment .
tackle issue	tackling issue	The meeting due to take place in Gaza tomorrow between President Abbas and Prime Minister Olmert has unfortunately been cancelled , but at least the leaders of the G8 will tomorrow be tackling the issue of the Palestine-Israeli conflict , as we did at the G8 Foreign Ministers ' meeting .
tackle issue	tackled issues	There are different systems in different Member States so we do not always agree on a common approach , but at least the first step will be taken and many issues like information for patients and other aspects of patients ' rights will be tackled through the healthcare initiative .
tackle issue	tackling issues	The Article 185 initiatives are playing a key role in tackling some of these key issues .
tackle issue	tackling issue	This package represents an opportunity for Europe to show itself at its best : tackling an issue of fundamental long-term importance ; using the European Union 's continental scale to best effect ; turning political consensus into practical action .
tackle issue	tackle issue	The third issue I wanted to tackle is China .
tackle issue	tackle issue	It is very important to tackle the issue of immigration , to manage migratory flows when we achieve the understanding and the cooperation of the countries of origin and transit .
tackle issue	tackle issue	Research institutes and scientists are waiting for rapid , coordinated action from the Commission and Council in order to tackle this issue , so as to allow them equal opportunities for participation in Framework Programmes .
tackle issue	tackle issue	I strongly believe that the EMA should not only act as a shield for consumers in relation to information on medicines , but when consumers are being blatantly overcharged for medicines and national governments are unable to tackle the issue , the EMA should have the ability to address the issue .
tackle issue	tackled issue	I voted in favour of the motion for a resolution on safe recycling of ships as I feel that it is vital for this issue to be tackled as an integral part of a ship 's lifecycle .
tackle matter	tackle matters	Concerning political dialogue , these agreements will aim to tackle a wide range of matters , such as climate change , energy , migration and the fight against drugs .
tackle matter	tackle matter	Of course , it would be possible to arrive at such a very generous interpretation of the Treaty , to allow the EU to tackle the matter .
tackle point	tackled points	Those specific points should be specifically tackled by the Commission .
tackle point	tackle point	We will tackle that point if there is still any hesitation to be overcome .
tackle problem	tackling problem	It is essential that we in Parliament and the Commission , keep our minds , and our ears and our eyes open , for new ways of tackling the unemployment problem .
tackle problem	tackle problem	It is all too easy to import a problem , but it is very difficult to tackle a problem once it is within our borders .
tackle problem	tackle problems	The URBAN initiative will allow for projects to be undertaken in these areas to tackle the ingrained problems of long-term unemployment and urban decay .
tackle problem	tackling problem	Such marketing makes it increasingly difficult for parents to encourage healthy eating : limits on such marketing are therefore imperative in tackling this problem .
tackle problem	tackled problems	Many Members here are being invited , as I am , to conferences , some organized by presidents-in-office , full of experienced rational experts who want a European contribution to international problems which can not be properly tackled at local or national levels .
tackle problem	tackle problem	EU Governments agreed to create a common area of justice to tackle the common problem of organised crime , especially drug smuggling and human trafficking .
tackle problem	tackle problems	I would only propose a European private company statute if the impact assessment clearly shows that this is the most appropriate instrument to tackle the problems SMEs face today and that the European private company form would be useful to them in expanding their activities and developing their businesses across borders .
tackle problem	tackle problem	We have to tackle both : the problem that was the European Year of Tourism and the systems that are quite inadequate in the Commission - witness the inadequacy with which the report of the Court of Auditors was dealt with .
tackle problem	tackle problems	If the terrible events of 22 December jolt those in a position of responsibility to take the actions required , not only to resolve the conflict , but also to tackle the underlying problems of poverty , deprivation and discrimination which lie behind the Zapatista revolt , the victims of Acteal will not have died in vain .
tackle problem	tackle problem	I have made my view clear in this Parliament that I believe the only way to tackle this serious problem , which faces us all , is at national level , and closer to the people .
tackle problem	tackle problems	Let them also tackle the problems of banking secrecy and tax havens which provide cover for money laundering .
tackle problem	tackled problem	Child obesity is a serious problem in Ireland and in Europe and this problem must be effectively tackled head-on .
tackle problem	tackle problem	We have to tackle the problem of space debris .
tackle problem	tackle problems	It is important that any new legislation in this area is based on sound evidence , not least to ensure that any future law brings forward specific and focused measures to tackle the problems .
tackle problem	tackled problem	Indeed it had been my wish , as Mr Ferber has said , to ensure as rapporteur that this problem was tackled within the directive .
tackle problem	tackle problems	We know the problems that the Member States have in their own waters , so it must be very difficult indeed for these other countries to be able to tackle these problems .
tackle problem	tackle problem	The Union must tackle the problem at its roots to truly improve human rights and economic conditions of people living in those countries .
tackle problem	tackle problems	I wholeheartedly welcome this sensible step to tackle one of the key problems hindering the potential boom in e-commerce across Europe , namely the difficulty in verifying the identity of users and consumers .
tackle problem	tackle problems	You might ask why we are considering using only a recommendation in order to tackle these problems .
tackle problem	tackling problems	Furthermore , as there is rightly widespread opposition to its introduction , emphasising its necessity is a dangerous diversion from tackling the real problems at hand .
tackle problem	tackled problem	Madam President , ladies and gentlemen , the Group of the European People 's Party calls on the Commission , and above all the Council , to ensure that this problem is tackled thoroughly , in political and practical terms - under the third chapter of the Barcelona Declaration , and more generally under the European Union 's third pillar - by introducing specific actions for the monitoring and assistance of clandestine immigrants and by negotiating specific measures concerning readmission .
tackle problem	tackle problem	Last June 150 countries adopted a global UN strategy to tackle the worldwide drug problem .
tackle problem	tackle problem	Cooperation to tackle this problem is imperative .
tackle problem	tackle problem	I call upon the Council of Ministers - who , of course , are not here - and also the Commission to remain strong and determined and tackle the problem .
tackle problem	tackled problem	I am very pleased that you are going to tackle it under the new programme on tourism but would the Commission not consider a study of what the extent of this problem might be and how it could be effectively tackled ?
tackle problem	tackling problem	So we have to wonder just how committed the Irish Government is to tackling the problem if it continues to support the Council 's very watered-down amendments .
tackle problem	tackling problem	The Association of European Airlines has gone so far as to intimate that a certain sense of complacency exists in some governments , particularly the British Government , about seriously tackling the problem of air congestion .
tackle problem	tackling problem	His proposals for tackling the problem of large by-catches in sprat fisheries by rigorous controls of landings and closure of fisheries when the by-catch limit is reached are also positive ways forward to ensure the survival and revival of herring stocks .
tackle problem	tackle problem	I would also like to take the opportunity to appeal to you to tackle the real problem that agriculture is facing throughout Europe , and certainly within the United Kingdom , and the problem of the strong pound sterling in its relation to the green pound .
tackle problem	tackle problem	We will also be updating the global approach on migration in the run-up to the December European Council and working to tackle the problem at source in the Euro-African Conference on Migration and Development next month .
tackle problem	tackle problem	But it is clear that if we are to tackle the problem , we need , as Mr Gargani has said - and I think my group would also underline - to move towards a binding European certificate of inheritance .
tackle problem	tackling problem	An early warning system will , we hope , help in the short term but if that was the solution then there would be no need for the long-term computerized way of tackling the problem .
tackle problem	tackle problem	I suspect , Mr President-in-Office , that we lack courage to tackle this major problem .
tackle problem	tackling problem	Through the use of clear labelling , individuals are beginning to realise that they are able to play their part in tackling the problem of international poverty .
tackle problem	tackled problems	The subcontinent of India has enormous potential but , as has been pointed out , many problems and tensions to be tackled particularly in its relationships with its immediate neighbours .
tackle problem	tackle problems	What better way of doing that than engaging the best brains in Europe on behalf of the people to tackle the problems which worry the people ?
tackle problem	tackle problems	For that , either you would need a bilateral agreement with Japan to ensure that they would also apply competition rules in a normal way to open up the markets ; or else we could think what might be done in a broader framework like the World Trade Organization , but specifically designed to tackle competition issues and competition problems .
tackle problem	tackling problem	We therefore need to take a holistic approach in tackling this problem , including involving our major partners .
tackle problem	tackle problem	Parliament will continue to demand of the other European institutions that action is taken , that an international effort is made to tackle what is clearly a global problem .
tackle problem	tackle problems	Of course , sometimes you have cases with which there are additional problems which need more energy to tackle , and this was clearly true of the case to which most of you have referred .
tackle problem	tackled problems	I believe that the islands ' main problems can be tackled more effectively with , for example , horizontal instruments .
tackle problem	tackling problem	The green paper on consumer collective redress proposed various ways of tackling this problem .
tackle problem	tackled problems	And I would like the European Parliament to identify clearly which internal market problems it wants to be tackled with such a directive .
tackle problem	tackles problem	When it comes to developing an interactive handbook to help citizens identify the most appropriate forum for solving their problems , I firmly believe that this excellent new website tackles the problem .
tackle problem	tackle problem	While free movement facilitates trafficking in terms of the removal of border controls , on the other hand , one would imagine that increased police cooperation should be in a position to tackle the problem .
tackle problem	tackle problems	The integrated surveillance mechanism , together with the willingness of the authorities to tackle the problems , is the guardian of a successful implementation of fiscal consolidation measures and structural reforms that will put Greece back on a sustainable path .
tackle problem	tackle problem	We will develop a clear and coherent policy response to tackle this problem in Europe .
tackle problem	tackle problems	The Commission adopted a two-tier approach to tackle these problems : infringement procedures to address incorrect implementation of the rules , and changes to the rules when they were not clear or precise enough .
tackle problem	tackle problems	It also highlights the issues of equality and corruption which need to be tackled within Montenegro and calls for measures to be taken to tackle these problems .
tackle problem	tackle problems	This is also about the political will to tackle tough problems .
tackle problem	tackle problem	So this is where we are in developing a coherent policy response to tackle this huge problem : my link is concrete actions in areas where there are clear legal bases in order to have efficiency , and in this regard , I am going to present a victims ' rights package in May this year in which legislation to help women and children will , of course , be very high on the agenda .
tackle problem	tackle problem	I have to say that talking is no longer enough : it is action we need on global stocks and volatility in the market , and until you start to tackle that problem , you will not solve the problem .
tackle problem	tackle problems	We welcome that because we , the United States , need strong allies and alliances to help us tackle the problems of the 21st century , many which are the same - but so many are different - than the last century .
tackle problem	tackle problems	That is why I think politicians who tackle these problems in a responsible and politically subtle manner are ' cool ' politicians , as are those of us who will vote for Mr Gahler 's report today .
tackle problem	tackle problems	The European Union immediately mobilised resources to tackle the most pressing problems .
tackle problem	tackling problems	The EU and its Member States have been contributing for several years to tackling the development and the security problems in individual Sahel countries , but threats to security transcend national borders and the only possible , the only effective response is a regional and comprehensive one .
tackle problem	tackling problem	Closer cross-border regulation , monitoring and minimum harmonised standards for agents ' contracts would contribute to tackling this problem and are necessary to ensure the integrity of football .
tackle problem	tackling problems	In any case , I must say that I very much hope that the adoption and implementation of the programme will lead to a more favourable climate for tackling Ireland 's financial and economic problems .
tackle problem	tackling problems	By doing more on energy saving , we are also tackling the very practical problems that people face in their lives .
tackle problem	tackle problem	Will it make appropriate representations to the Albanian Government to tackle this problem ?
tackle problem	tackles problem	The current proposal is a breakthrough because it puts victims first and tackles the problem in a complex , cross-border manner .
tackle problem	tackle problem	Measures such as this are crucial in order to give authorities the tools and common purpose they need to tackle this Europe-wide problem .
tackle problem	tackle problem	I ask the Commission to bring forward further programmes along these lines to tackle this life-threatening problem that faces all of Europe .
tackle problem	tackle problem	This should provide , for example , for the establishment of a European coastguard service to tackle the drugs problem , which is a dreadful blight on all our communities .
tackle problem	tackle problem	I said earlier in response to another debate in the House on the common foreign and security policy area that I believe that we need to do much more as a region in a coordinated way to tackle this problem .
tackle problem	tackling problem	I therefore welcome this report , which should go some way to tackling this problem .
tackle problem	tackle problems	Furthermore , regional operating aid is certainly not the best instrument to tackle the local problems of islands .
tackle problem	tackling problem	Otherwise we will be going round in circles without tackling the real problem .
tackle problem	tackled problems	I would like to pay tribute to Jan Mulder for the way in which he tackled these problems .
tackle problem	tackled problems	As I mentioned in my opening remarks , the islands ' main problems can be tackled more effectively with horizontal instruments .
tackle problem	tackle problem	I would urge the Council to instruct the Commission at Amsterdam , once we have the chapter on employment and once we have a pact that balances stability with growth , to come forward with a new model of development that ensures that we can tackle the unemployment problem and social exclusion and to try to help make this a Europe worthy of our citizens .
tackle problem	tackle problem	Do you not think it is time , given the state of the debate on economic and monetary union and the very clear shift of public opinion in Europe now , to rebalance economic and monetary union so that we can prove to the citizens of the European Union that we can have , on the one hand , a successful economic and monetary union and on the other hand , that we can tackle the problem of unemployment ?
tackle problem	tackled problems	It is high time that this problems was tackled much more efficiently than we have been able to do so far .
tackle problem	tackling problem	Those of us with a background in education are absolutely convinced that education is the key to overcoming ignorance and , in turn , to tackling the real problems of racism and nationalism , which , if unchecked will be a serious problem to the European Union .
tackle problem	tackle problem	I want to confirm the positive spirit in which the Commission tries to tackle this kind of problem .
tackle problem	tackle problem	That is why learning from each other across the 27 Member States , sharing best practice and finding common solutions can help us tackle the growing problem .
tackle problem	tackle problems	With regard to state aid , it may be that regional investment aid is not the best instrument to tackle local problems in islands .
tackle problem	tackle problems	To tackle the pollution problems caused by these dangerous substances the Commission has proposed or adopted more than 30 Community acts since the Water Framework Directive was agreed .
tackle problem	tackle problem	That is why we need concerted action at European level : a common economic policy , particularly in the field of public investment , so that we can boost growth rates and tackle the unemployment problem .
tackle problem	tackling problems	The EU can export energy-efficient , clean technology and China can make a contribution to tackling its environmental problems .
tackle problem	tackle problem	Subject : Attempts to tackle the problem of BSE
tackle problem	tackled problem	I do not agree with the British Prime Minister 's view that this problem should be tackled at national level .
tackle problem	tackle problem	To agree with Mrs Jackson , I find that one of the areas missing here is the cost to the citizen of these policies : we need to ensure that Member States tackle this problem in parallel to getting quality right .
tackle problem	tackling problems	For these reasons , the Commission has proposed an emergency package of measures to tackle the immediate social and economic hardship triggered by the dramatic rise in the price of oil , while also tackling the underlying structural problems of the European fleet .
tackle problem	tackle problem	We can say what the producers should produce , but this is not exactly how the Commission should tackle the problem .
tackle problem	tackle problem	Cool too is the British Government and CBI view of another central proposal of the Commission document , to tackle the problem of late payments which so besmirches Europe 's and the UK 's business environment , propelling small firms into insolvency , because the Michael Heseltine view of the acceptability of stringing creditors along still prevails .
tackle problem	tackle problem	While we have a duty to tackle this problem within EU waters , ultimately this a problem which requires international action .
tackle problem	tackling problems	After the war he was a long-serving member of Liverpool City Council and devoted himself to tackling the problems of housing in that city .
tackle problem	tackle problem	If we truly believe in diversification and changing from defenceorientated production to civilian production , then we must tackle this problem .
tackle problem	tackle problems	These measures show the determination of the Greek Government to tackle their structural problems .
tackle question	tackle question	I should like to make clear that my group is going to propose an amendment deleting the detail of how the Commission should tackle this question .
tackle question	tackling questions	Concerning the question to the Commission on the implementation of the EU-Russia visa facilitation agreement that I tabled on behalf of the ALDE Group , I wanted to learn what progress has been made so far and whether we are , at the moment , in a position to expect a breakthrough in tackling technical questions such as the requirement for EU citizens to register with the authorities within three days if staying in a private home in Russia .
tackle question	tackle question	If we can make progress on the Statute , then we can tackle the thorny question of our own expenses .
tackle question	tackle question	Once again , the directive adopted by the Commission last December , implementing the Market Abuse Directive as regards disclosure of conflicts of interest , could be a good starting point to tackle this question .
tackle question	tackle questions	A strategy paper will draw on the results of this debate and tackle fundamental questions about the future of Europe .
tackle question	tackles question	Therefore , the second amendment tackles this whole question of the ill-fitting caps and , sometimes , no caps at all .
tackle question	tackles questions	Many who are involved or who have a knowledge of the circumstances recognize that there really has to be the kind of dialogue that tackles simultaneously the various political and economic questions so that there are steps forward as part of a package to which all the parties are committed .
tackle question	tackle question	This means measures fail totally to tackle the whole question of animal suffering .
tackle question	tackle question	I also deplore their attitude towards the Rational Planning Directive which is a piece of legislation which would allow us seriously to tackle the question of energy efficiency in the distribution sector .
tackle question	tackling question	Mr President , I congratulate the rapporteur on tackling the very important question of managing risk and crises in the agricultural sector , and taking the situation of the new Member States into account too .
tackle question	tackle questions	Therefore , I would ask the Member to hand me the questions he would like to ask the European Union Agency for Fundamental Rights to tackle and I will see what can be done in a positive way .
tackle question	tackle questions	But there are also questions of society which go very deep and which we have to tackle with the help of women 's organisations , with the help of the Ministers in the Member States , with the help of national laws , with the help of European laws , and there is , of course , the terrible question of violence against women .
tackle question	tackle question	Let us try to tackle this question on non-compliant parties .
tackle situation	tackled situation	This situation has to be tackled because taxes on the peasants have increased dramatically over recent times because of the need to modernise .
tackle situation	tackle situation	It is time to tackle the underlying poverty situation in Haiti once and for all .
tackle situation	tackling situation	Secondly , Parliament 's report makes a convincing case for the need to adopt a holistic approach to tackling the socio-economic situation of the Roma .
tackle task	tackled task	This is a task that must be tackled in tandem with the institutions .
tackle task	tackled task	No one who has read the report can be left with any doubt as to the seriousness with which the task has been tackled .
tackle task	tackle tasks	These are massive tasks which the EU seeks to tackle in its proposed action plan .
digest information	digest information	This Treaty does not have to be decided on until the end of 2002 , yet the Irish Government is pressurising the Irish people to vote , although they have only had approximately three weeks to digest the minimum information provided to them .
tackle question	tackle questions	We now have a new and more effective framework to tackle human rights questions : the neighbourhood policy .
tackle question	tackle question	However , one needs to underline that if we really want to tackle the question of security on board aircraft then cost considerations can only be secondary .
tackle question	tackle question	But there are also questions of society which go very deep and which we have to tackle with the help of women 's organisations , with the help of the Ministers in the Member States , with the help of national laws , with the help of European laws , and there is , of course , the terrible question of violence against women .
tackle question	tackling question	Concerning the question to the Commission on the implementation of the EU-Russia visa facilitation agreement that I tabled on behalf of the ALDE Group , I wanted to learn what progress has been made so far and whether we are , at the moment , in a position to expect a breakthrough in tackling technical questions such as the requirement for EU citizens to register with the authorities within three days if staying in a private home in Russia .
tackle question	tackle question	So it was a competition case and this case showed the Americans that they could not tackle this kind of question through the instruments of the World Trade Organization .
tackle issue	tackled issues	My own view as a former development minister is that these issues should be mainstreamed themselves and tackled at the heart of training and not turned into a sort of optional add-on .
find way	find way	We have to find some way of putting pressure on such countries to do just that so we can reconnect with our citizens .
tackle problem	tackle problems	With eight out of ten people in Europe living in urban areas , it is right that we help our most deprived communities to tackle the all too familiar problems of deprivation , social exclusion , joblessness , crime , drug dependency and all the problems that are associated with that .
tackle problem	tackle problems	Instead , communities in urban areas should be encouraged to present integrated action plans to tackle their specific urban problems , using EU resources as a value added to local actions .
tackle problem	tackle problems	We need to deploy the energies of the unemployed , the underused skills of youth and the experience of age to tackle these problems .
tackle problem	tackling problem	It is extremely important both for the producer and the consumer that we restore confidence and the only way we can do it is by rigorously tackling the problem and resolving it .
find way	finding way	The broad principles are surely ones we should be able to accept - the broad principles that we wish to reduce hazardous waste leaking into the groundwater , the broad principles that we should be aiming to ensure that chemicals , which we all need in society in all circumstances , should not be finding their way into our water system .
tackle issue	tackle issue	It is absolutely crucial that we tackle the coherence issue in a realistic and pragmatic way , which means holding the debate in the appropriate institutional framework , that is , the Council and Parliament .
tackle crisis	tackle crisis	The reason she can not do so is because , as some honourable Members have pointed out , she is in Hungary and Romania to see for herself the extent of the damage and how best we can help the Hungarian and Romanian authorities to tackle the crisis .
tackle problem	tackling problem	I also commend the work of the rapporteur , whose commitment reflects the strength of feeling within our committee to tackling this particular problem and a strong desire amongst parliamentarians of all parties to call a halt to this environmentally disastrous practice .
mount campaign	mount campaign	My amendment calls upon the Commission to monitor the Member States to see that they carry out the necessary inspections set out in these regulations , because if we are to mount a successful campaign to contain and eradicate tuberculosis and brucellosis , then the proper implementation of these regulations will be essential .
juggle career	juggle career	Business-to-consumer communications are particularly important for the elderly , the housebound and for those with family responsibilities who are finding it difficult to juggle work and career , overwhelmingly women .
tackle matter	tackled matter	Verification is another matter that needs to be tackled with Member States , because they are guilty as well .
find way	find way	The background to this is from our point of view continued prevarication on the part of the United States ' administration whose attitude has , in the past , given us insufficient guarantees that they are willing to negotiate seriously through ICAO to find a way out of our difficulties .
tackle issue	tackle issue	It is only by joint across-the-board action that we can tackle this issue , not least by agreeing to extra-territorial application of criminal laws .
tackle issue	tackle issues	The disincentive of high capital costs of connection to the grid from remote renewable sites and the prevention of transmission penalties are other issues which the directive should tackle .
find way	find way	It is important that we find a new way of doing it .
tackle problem	tackle problem	All those who have endeavoured to tackle the problem of the European economy so far have done so within the context of the old economy .
tackle issue	tackle issues	It was possible for the EU to tackle politically sensitive issues , such as good governance and human rights , with African leaders at the summit .
tackle issue	tackling issues	I must strongly support the rapporteur and his suggestions that the Commission should be tackling the issues of major topics , such as the importance and the overall impact of the programme in relation to the agreed objectives rather than individual programmes .
tackle problem	tackle problem	I very much hope that the Socialist Group will change their mind , get their heads out of the sand and realise that this is the problem which we have to tackle and that it is better to do it now rather than later .
tackle problem	tackle problem	We have been able to tackle the problem of the possibility of maternal transmission by also taking out those animals that might be at risk because of their ancestry .
tackle problem	tackling problem	I can say that we have left no stone unturned in tackling this problem , including the removal of entire herds where an infected animal has in fact been diagnosed .
tackle problem	tackle problem	I hope that is a problem which we will be able to tackle .
find way	find ways	However my principal concern at the moment is not how we get from A to Z - that often seems rather easier than getting from A to B . What we have to do - whatever the long term objective may be is - to find better ways of managing our external assistance straightaway .
mount campaign	mount campaign	I very much hope , Commissioner , that we will disseminate this kind of information in Zimbabwe because those people trying to mount an opposition campaign will be heartened by the kind of information that we have had from you today and I think that would be important .
tackle issue	tackled issues	Mrs Karamanou ' s report has clearly demonstrated that the subject of readmission rules between European Union Member States , although a very technical and specific issue , touches upon some very sensitive policy issues that simply need more thorough reflection and preparation before they are again tackled by the Union .
tackle issue	tackle issue	We need to tackle this issue urgently and swiftly but in a coherent way .
find way	find ways	We also need to find other permissible ways of reducing the costs associated with transport to island and outlying communities .
tackle problem	tackle problem	It is that problem that this particular proposal aims to tackle .
close debate	closed debate	If there are no further interventions , this debate is closed and we shall continue the debate on human cloning .
find way	find way	Can we not get together and find a way of dealing with stem research without experimenting directly on human beings ?
tackle problem	tackle problems	If the budgetary authority agrees , a number of these posts could be allocated to tackle the kind of problems which we are discussing today .
tackle problem	tackle problem	The Commission 's communication focused on the policy strategy to tackle this important problem .
tackle issue	tackle issue	The issue of Fiji is important , not only in its own right , but because it will set a precedent as to whether semi-clandestine coups-in-waiting along similar lines will see the light of day and whether Europe and the rest of the developed world is prepared to tackle the issue of indigenous rights - the Third World 's variant of the racism that is threatening us all .
tackle problem	tackle problem	There can be no reason why Member States , acting in a uniform way , would necessarily be able to tackle this problem more effectively than individual Member States and , above all , there can be no reason for taking such a close interest in ordinary aspects of people ' s working lives .
find way	finding ways	It needs a fundamental legal framework with innovative , non-legislative solutions and that is why I support Mrs Wallis ' proposals : looking at the potential of ADR systems , looking at trustmarks , supporting small businesses in voluntary codes of good conduct , and finding mutually satisfactory ways to solve disputes .
find way	find ways	It is a sensible position in helping us to work with business and consumers that we can ensure that court action is only the last resort and we can find better ways to resolve disputes .
find way	find way	The shared aim of all of us is to try to find a balanced way of protecting consumers and shielding SMEs from differing Member State jurisdictions .
find way	find way	Can we try to find some way of conveying our views to the Russian Government and sorting out this question of freedom of the press and expression which bedevils relations between the Russian Federation and the European Union ?
find way	find way	We have to find a way of simplifying things for citizens themselves and for the administrators of these systems .
tackle situation	tackle situation	In our efforts to tackle the health and environmental situation in the Balkans , the Commission has established a twin-track approach .
