pairs	# instances	inflected_pairs	# inflected_pairs	source_alignments	# source_alignments	all_translations	# all_translations	uniq_translations	# uniq_translations	fig_or_lit
pose problem	6	pose problems,poses problems,poses problems,poses problems,poses problems,posed problem	3	pose pose problems,poses poses poses problems,poses problems,poses problems,poses problems,problem posed	4	verbunden mit Problemen,bringt mit sich Probleme,verursacht Probleme,verursacht Probleme,bereitet Probleme,Problems entstanden	5	mit Problem verbinden,sich mit Problem bringen,Problem verursachen,Problem bereiten,Problem entstehen	5	Figurative,Figurative,Literal,Figurative,Literal
pose question	31	pose question,posed question,posing question,posed question,pose question,posed question,pose question,pose question,posed questions,pose question,poses questions,pose question,pose questions,posing questions,posed questions,poses question,posed questions,poses questions,pose questions,posed question,posing questions,pose questions,posed questions,pose questions,pose question,poses questions,posed question,pose question,pose question,pose questions,pose question	8	pose question,posed question,posing question,question posed,pose question,was question posed,pose question,question question,questions have posed,question pose,poses questions poses,pose question,questions pose pose,are posing questions,questions posed posed,poses poses question,questions questions,questions poses questions,pose questions,question posed,am posing questions,pose questions,questions questions have been posed,pose questions,pose question,poses questions,question has posed posed,does pose question,question pose,pose questions,pose question	21	stellen Frage,stellte Frage,stelle Frage,Fragen gestellten,aufwerfen Frage,wurde Frage gestellt,stellen Frage,stelle Frage,Fragen haben aufgeworfen,Kernfrage stellen,wirft Fragen auf,stellen Frage,Fragen wirft auf,NULL stellen Fragen,Fragen gestellt wurden,stellt sich Frage,aufgeworfenen Fragen,Fragen werden gestellt,aufwerfen Fragen,Frage NULL,NULL stelle Fragen,stellen Fragen,die Anfragen NULL NULL gestellten,stellen Fragen,stellen Frage,stellt Fragen,Frage wurde formuliert von,NULL stellt Frage,Frage lautet,aufwerfen Fragen,stellen Frage	24	Frage stellen,Frage aufwerfen,Anfrage stellen,Frage NULL,Frage formulieren,lauten Frage	6	Literal,Figurative,Figurative,-,Literal,Literal
practice profession	1	practice professions	1	practice professions	1	auszuüben Beruf	1	Beruf ausüben	1	Literal
practice religion	1	practice religion	1	practice religion religion	1	Ausübung einer Religion	1	Ausübung Religion	1	Literal
read article	1	read articles	1	articles be read	1	Artikel werden gelesen	1	Artikel lesen	1	Literal
read book	4	reading book,read book,read book,read books	3	reading reading book,book read read,had read book,books be read	4	habe gelesen Buch,Buchs gelesen habe,habe gelesen Buch,Bücher werden gelesen	3	Buch lesen	1	Literal
recall memory	2	recall memory,recall memory	1	recall recall memory memory,recall memory	2	erinnern uns seines Gedächtnisses,NULL gedenken	2	sich Gedächtnis erinnern,gedenken	2	Literal,-
reduce cost	9	reduce costs,reduce cost,reduce costs,reduce costs,reduce costs,reducing costs,reduce cost,reduced cost,reducing cost	5	costs reduce,reduce cost,reduce costs,reduce costs,reduce costs,reducing costs,reduce reduce reduce cost cost,has been reduced cost,reducing cost cost	7	Kosten gespart,reduzieren Kosten,senken Kosten,senken Kosten,reduzieren Kosten,senken Kosten,zur Senkung beitragen der Kosten,geworden sind preiswerter NULL,Rückgang der kosten	6	Kosten sparen,Kosten reduzieren,Kosten senken,Rückgang Kosten,Kosten zur Senkung beitragen,preiswerter werden	6	Literal,Literal,Literal,Literal,Literal,Literal
reduce price	11	reducing price,reducing price,reduce prices,reduced prices,reduced price,reduce prices,reduce prices,reduce price,reducing prices,reduced prices,reducing price	6	reducing price,will be reducing price,reduce prices,prices have been reduced,price be reduced,prices reduce,prices prices,reduce price price,prices prices are reducing,have reduced prices,be reducing price	11	sinken preise,werden werden reduzieren Preis,reduzieren Preise,Preise wurden wurden gesenkt,Preise werden gesenkt,preise senken,Preise drücken,Reduzierung landwirtschaftlicher Preise,die preise NULL sinken,haben gesenkt Gebühren,werden reduzieren Preis	11	Preis sinken,Preis reduzieren,Preis senken,Preis drücken,Reduzierung Preis,Gebühr senken	6	Literal,Literal,Literal,Figurative,Literal,Literal
reduce rate	1	reduce rate	1	reduce rate	1	senken rate	1	Rate senken	1	Literal
reject idea	1	rejects idea	1	rejects idea	1	zurückweist Gedanken	1	Gedanke zurückweisen	1	Figurative
ruin career	1	ruin career	1	career ruin	1	Laufbahn ruinieren	1	Laufbahn ruinieren	1	Figurative
saturate market	1	saturated market	1	market is saturated	1	markt ist gesättigt	1	Markt sättigen	1	Figurative
sell drug	1	sell drug	1	drug sell	1	Drogen verkaufen	1	Droge verkaufen	1	Literal
stimulate debate	11	stimulated debate,stimulate debate,stimulating debate,stimulating debate,stimulate debate,stimulate debate,stimulate debate,stimulate debate,stimulating debate,stimulate debate,stimulate debate	3	stimulated stimulated debate,debate stimulate stimulate stimulate,debate stimulating,is stimulating stimulating debate debate stimulating,stimulate debate,stimulate debate,stimulate debate,stimulate stimulate stimulate debate,stimulating debate,stimulate debate,stimulate debate	7	haben entfacht Diskussion,Debatte in Gang setzen,Debatte anzustoßen,hat Anstoß für die Diskussion gegeben,anzuregen Debatten,anzuregen Debatte,anregen Debatte,in Gang kommt Debatte,anzuregen Diskussion,auslösen Debatte,anzuregen Diskussion	10	Diskussion entfachen,Debatte in Gang setzen,Debatte anstoßen,für die Diskussion Anstoß geben,Debatte anregen,Debatte in Gang kommen,Diskussion anregen,Debatte auslösen	8	Figurative,Figurative,Figurative,Figurative,Literal,Figurative,Literal,Literal
stimulate economy	2	stimulate economy,stimulate economy	1	economy stimulate will,stimulate economy economy	2	Wirtschaft angekurbelt werden,Ankurbelung der Wirtschaft	2	Wirtschaft ankurbeln,Ankurbelung Wirtschaft	2	Figurative,Figurative
stimulate growth	2	stimulate growth,stimulates growth	2	stimulate growth growth,stimulates growth	2	anzukurbeln das wachstum,stimuliert Wachstum	2	Wachstum ankurbeln,Wachstum stimulieren	2	Figurative,Literal
suggest idea	5	suggested idea,suggested idea,suggesting ideas,suggested ideas,suggest idea	4	suggested suggested idea,have suggested idea,ideas suggesting,ideas suggested suggested,suggest suggest idea	5	wird vorgetragen Gedanke,haben vorgeschlagen NULL,Ideen NULL,Ideen vorgetragen haben,schlage vor Idee	5	Gedanke vortragen,NULL vorschlagen,Idee NULL,Idee vortragen,Idee vorschlagen	5	Literal,-,-,Literal,Literal
understand issue	2	understand issues,understand issues	1	understand issues,understand do understand issues	2	kennen Probleme,Verständnis haben für Probleme	2	Problem kennen,für Problem Verständnis haben	2	Literal,Literal
understand meaning	3	understand meaning,understood meaning,understand meaning	2	understand meaning meaning meaning,understood meaning meaning meaning meaning,do understand meaning	3	verstehen worum es geht,wussten was mit gemeint ist,NULL verstehen Bedeutung	3	Worum es geht verstehen,Bedeutung verstehen,was mit etw. gemeint ist wissen	3	Figurative,Literal,Literal
understand point	3	understands point,understand points,understood point	3	point understands understands,understand points,point ist understood	3	was hat verstanden,verstehe Argumente,Argumente NULL verstanden	3	Argument verstehen,etwas verstehen	2	Literal,-
understand problem	6	understood problems,understand problems,understand problems,understand problem,understood problems,understanding problem	4	are understood understood problems,understand understand understand problems,understand understand understand problems,understand problem problem,had understood problems,understanding problem problem	5	sind vertraut mit Problemen,Verständnis haben für Probleme,Verständnis haben für Probleme,verstehe das Problem,hätte erkannt Probleme,Verständnis des Problems	5	mit Problem vertraut sein,für Problem Verständnis haben,Problem verstehen,Problem erkennen,Verständnis Problem	5	Literal,Literal,Literal,Literal,Literal
understand question	2	understand question,understood question	2	understand question,understood understood understood understood question question	2	verstehe Frage,herrscht mehr Klarheit bezüglich der Notwendigkeit	2	Frage verstehen,Klarheit bezüglich Notwendgkeit herrschen	2	Literal,Figurative
understand reason	3	understand reasons,understood reasons,understand reasons	2	understand reasons,understood understood reasons,understand reasons reasons	3	kenne Gründe,seien verständlich Gründe,verstehen Beweggründe dafür	3	Grund kennen,Beweggrunde verstehen,Grund verständlich sein	3	Literal,Literal,Literal
understand situation	1	understand situation	1	understand understand situation	1	bemühen uns um Einblick in Situation	1	sich um Einblick in Situation bemühen	1	Figurative
