Phrases	Anno	Sentences
défi à affronter	Literal	La Croatie a beaucoup progressé ces dernières années , mais il lui reste de nombreux défis à affronter .
clore dossier	Figurative	Nous avons décidé que nous étions satisfaits de la contribution française , mais nous ne pouvons pas clore le dossier , parce que ces promesses , ces éléments de droit , ces propositions de loi , n' ont pas encore été mis en œuvre .
dynamiser économie	Figurative	Madame la Présidente , Mesdames et Messieurs , la Commission partage entièrement l' avis du député selon lequel la silver economy est un domaine de développement très prometteur , qui doit être dynamisé aux niveaux local , national et européen .
obtenir information	Literal	Vous serez peut-être en mesure d' obtenir certaines informations au sujet de cette plante et de la façon dont elle a colonisé l' environnement .
déverser montant	Literal	Le Royaume-Uni continuera de déverser des montants de plus en plus importants sur Bruxelles , alors que le seul domaine dans lequel nous recouvrons une partie de ces deniers - très peu , en fait - est justement celui où la Commission envisage des diminutions .
examiner accusation	Literal	La Commission est cependant préoccupée par le fait qu' en Russie même , les accusations ont seulement fait l' objet de démentis d' usage , sans être examinées comme elles le devraient .
clôturer débat	Figurative	Le moment est venu pour moi de clôturer le débat .
accomplir tâche	Literal	Quiconque ayant lu le rapport ne peut douter du sérieux avec lequel la tâche a été accomplie .
formuler remarque	Literal	Cependant , nous sommes forcés de constater au vu des remarques formulées de temps en temps par la Commission qu' il existe de réels problèmes et nous trouvons difficile d' effectuer notre travail au sein de ce Parlement sans que soit atteint ce degré de transparence .
apaiser préoccupation	Literal	Il est temps pour nous de nous assurer que des mesures soient prises ; que les préoccupations de nos concitoyens et des partisans du bien-être des animaux soient apaisées grâce à une interdiction totale des ventes de produits cosmétiques testés sur les animaux et par une interdiction de ces tests .
apporter solution à problème	Literal	Comme vous le savez , nous essayons de collaborer au sein de forums internationaux en vue d' apporter une solution à ce problème .
améliorer situation	Literal	Nous devrions entamer un dialogue franc et ouvert en ce qui concerne les politiques que les gouvernements partenaires doivent appliquer en vue d' améliorer la situation dans ce domaine .
envisager question	Figurative	C' est pourquoi nous considérons que certaines questions soulevées par la baronne Ludford et certains problèmes soulevés par Mme Boumediene-Thiery - qui sont très importants - doivent être envisagés dans le cadre du règlement sur la protection temporaire et la protection subsidiaire que la Commission prépare activement .
avoir occasion	Literal	Un large éventail d' ONG a eu l' occasion d' y exposer ses inquiétudes relatives à des pays où des thèmes essentiels , et il ne fait aucun doute que cet apport se révélera utile lors du processus de délibération .
contenir remarque	Figurative	Il contient des remarques essentielles concernant les points sur lesquels les décideurs européens devront concentrer leurs efforts dans les années à venir .
avoir trait à problème	Figurative	L' amendement que j' ai soumis a trait aux problèmes de distorsion de concurrence et du secret , tout en soutenant le principe d' innovation .
commentaire à faire	Literal	Alors que je préparais les commentaires à vous faire aujourd'hui , j' ai cherché des exemples , parce que je pense que c' est un très bon moyen de montrer aux citoyens de l' Union européenne tout le parti qu' ils peuvent tirer de cette évolution .
dégager solution	Figurative	Une solution vient d' être dégagée , et elle consiste à encourager la participation des citoyens eux-mêmes dans la vie démocratique de l' Union .
de manière à tirer le meilleur parti	Literal	Nous nous félicitons particulièrement de ce que le Conseil a invité la Commission à formuler des propositions visant à trouver comment , de manière innovatrice et créative , tirer le meilleur parti des perspectives offertes par l' accord de paix .
saisir situation	Literal	Nous avons besoin de quelques jours pour saisir et évaluer la situation à la cour constitutionnelle .
discuter de question	Literal	Monsieur le Président , je pense que l' importance de la question dont nous discutons ce soir réside dans le fait que cette commission continue à être extrêmement vigilant concernant les problèmes de sécurité des jouets , comme elle l' est d' ailleurs concernant tous les biens de consommation .
en conclusion de débat	Literal	Je voudrais proposer que les groupes politiques soient invités à introduire des propositions de résolution en conclusion du débat sur la viande bovine britannique .
poser question	Literal	Selon moi , c' est la question que nous devrons continuellement poser lors des prochaines semaines et des prochains mois .
affaiblir confiance	Figurative	Elle est opportune car la confiance dans l' intégrité des opérateurs du marché a été considérablement affaiblie ces deux dernières années à la suite de différents cas d' abus de marché , principalement aux États-Unis .
décrocher emploi	Figurative	Si je ne décroche pas d' emploi à l' aéroport de Bruxelles , j' en décrocherai peut-être un à l' aéroport de Francfort , où je dois souvent me rendre , compte tenu de la longueur des questions qui me sont posées ici dans cette Assemblée .
attirer main d'oeuvre	Figurative	Troisièmement , il convient d' attirer la main- d' œuvre qualifiée des pays tiers , sans pour autant - ainsi que le souligne le groupe de travail - considérer l' immigration comme une solution unique aux futurs problèmes de l' Europe en matière de démographie et d' emploi .
faire face à problème	Literal	C' est uniquement en libérant l' imagination des gens que nous pourrons faire face aux problèmes majeurs auxquels nous sommes confrontés aujourd'hui , tels que le changement climatique , l' exclusion sociale , le changement démographique et le chômage .
faire allusion à idée	Literal	La résolution fait allusion à l' idée d' une contribution de solidarité sur les billets d' avion , mais elle ne doit pas constituer la seule piste et , à l' instar de Mme Kinnock , je souhaiterais suggérer d' autres possibilités .
mal interpréter paroles	Literal	Très peu de responsables politiques voudraient s' élever contre de telles propositions , par crainte que leurs paroles ne soient mal interprétées , mais le lien n' a pas été fermement établi entre l' emploi des phtalates dans les jouets et un quelconque risque pour les enfants .
répondre à inquiétude	Figurative	Cependant , j' examinerai avec mon collègue , M. Liikanen , les inquiétudes concernant les produits pharmaceutiques et cosmétiques manifestées par un grand nombre d' entre vous et je lui demanderai d' y répondre .
résolution de problématique	Literal	J' ai voté pour cette proposition de résolution parce que nous devons veiller à ce que la priorité pratique et morale soit accordée à la résolution de la problématique de la traite des êtres humains et à la manière dont cette traite est utilisée comme ressource sur le marché du travail .
lutte contre phénomène	Figurative	Le programme Daphne contribue à la lutte contre ce phénomène dans toute l' Union européenne ; ceux qui ne soutiennent pas ce rapport aujourd'hui doivent être condamnés .
pratiquer religion	Figurative	Imposer sa propre religion ou refuser à l' autre le droit de pratiquer sa religion sont deux attitudes tout aussi condamnables .
emprunter voie	Figurative	Nous la condamnons fermement - il n' y a jamais d' excuse pour le terrorisme , mais nous demandons également à la Turquie d' essayer de trouver des interlocuteurs pacifiques , d' emprunter une voie politique et d' investir dans le développement économique et social du sud-est .
applicable à problème	Figurative	Pour cela , il faudrait soit bénéficier d' un accord bilatéral avec le Japon garantissant le strict respect de ce dernier aux règles de concurrence en vue de l' ouverture des marchés , ou alors réfléchir à ce qui pourrait être intenté dans un cadre plus large , comme l' OMC par exemple , mais spécifiquement applicable aux problèmes de concurrence .
provoquer mort	Literal	L' ESB est une maladie dégénérative qui ne provoque de toute façon pas une mort subite .
faire part de remarque	Figurative	Monsieur le Président , je vous suis reconnaissant de votre indulgence , mais il me semblait que ce sujet était suffisamment important pour vous faire part de ces quelques remarques .
verser argent	Literal	Aucune nation ne devrait verser l' argent des contribuables dans un système corrompu .
permettre traitement de situation	Figurative	Je me réjouis de la base juridique établie et du traitement détaillé de cette situation que permettront - je l' espère - ces nouvelles règles .
régler problème	Literal	En juin dernier , 150 pays ont adopté la stratégie globale proposée par les Nations unies visant à régler le problème mondial de la drogue .
réduction de prix	Literal	Dans mon pays , cela reviendrait à 45 - 55 livres sterling ou 70 - 90 euros par animal , sans aucun bénéfice en retour et , comme l' a déjà souligné M. Goodwill , ce projet pourrait entraîner une réduction du prix marchand de certaines catégories de bestiaux , notamment des jeunes taureaux .
payer cotisation	Literal	Voici un pays qui peut conclure un accord commercial avec l' UE sans être obligé de payer une cotisation de membre ou adopter des milliers de directives et règlements chaque année .
être question de dossier	Literal	Monsieur le Président , le dossier dont il est question aujourd ' hui divise l' Assemblée et suscite de vives émotions , chez le rapporteur également , bien qu' elle fasse montre d' un grand sang-froid .
profiter de programme	Literal	Nous soutenons , bien sûr , les échanges dans le cadre des programmes Erasmus , Socrates , etc. , à l' Institut d' éducation européen de Florence , mais trop peu d' étudiants profitent de ces programmes .
examiner problème	Literal	Nous examinons ce problème au sein de nos institutions et conformément à nos lois et règlements .
apporter remarque	Literal	Je voudrais faire quelques commentaires et apporter des réponses et des remarques concernant le débat et les rapports , et je commencerai par la scène internationale .
résoudre problème	Literal	Je crois fermement que l' AEM devrait non seulement servir à filtrer les informations sur les médicaments communiquées aux consommateurs , mais qu' elle devrait également pouvoir intervenir lorsque les consommateurs paient clairement trop cher pour des médicaments et que les gouvernements nationaux se montrent incapables de résoudre le problème
chercher solution à problème	Literal	Pour toutes ces raisons , la Commission a proposé un ensemble de mesures d' urgence afin de remédier aux difficultés économiques et sociales qu' entraîne la hausse fulgurante des prix du pétrole , tout en cherchant une solution aux problèmes structurels intrinsèques de la flotte européenne .
toucher à problème	Figurative	Mais une telle politique touche également au problème du travail au noir .
faire échouer processus	Figurative	Je ne souhaite absolument pas réduire nos attentes mais je prendrais bien garde de ne pas entretenir de trop grands espoirs afin que ceux qui ne veulent pas voir aboutir les négociations internationales ne puissent faire échouer le processus après le Mexique si nous ne parvenions à aucun accord .
se pencher sur question	Figurative	Je vote en faveur du présent rapport d' initiative parce qu' il se penche sur des questions d' actualité dans le cadre de l' éternel débat sur le secteur de la notation de crédit : en particulier , le manque de concurrence , l' existence de structures oligopolistiques , ainsi que l' absence d' obligation de rendre des comptes et le défaut de transparence , principalement en ce qui concerne la notation de la dette souveraine .
s' attaquer à crise	Figurative	En effet , la communauté internationale devrait afficher un engagement dépassant celui affiché pour s' attaquer à la crise financière .
briser cycle	Figurative	Sur le plan économique , le cadre macroéconomique présenté à New York doit être plus rigoureux et combiné à une orientation claire vers l' emploi et la croissance , qui brisera le cycle de la pauvreté et de l' inégalité .
traitement de problème	Figurative	Il est évidemment souhaitable que les États membres partagent les informations et les meilleures pratiques en matière de traitement de ces problèmes : certaines sections de ce rapport offrent indubitablement des suggestions utiles .
s' atteler à tâche	Figurative	C' est une tâche à laquelle il faut s' atteler en tandem avec les institutions .
étudier question	Figurative	Cette question a déjà été étudiée dans le cadre de la recherche .
améliorer système	Literal	De nombreux États membres ont travaillé dans l' esprit de protéger leurs propres intérêts nationaux plutôt que dans le but d' améliorer le système général européen .
attaquer problème	Figurative	Il est essentiel qu' au Parlement et à la Commission , nous gardions nos esprits , nos oreilles et nos yeux ouverts aux nouveaux moyens d' attaquer le problème du chômage .
traiter défi	Figurative	Le livre vert sur l' avenir de la politique du RTE-T aborde ces défis et propose des mesures afin de les traiter , et ce tant au stade de la planification de réseau qu' à celui de la mise en œuvre de projet .
incorporation dans	Literal	Je suis assez confiante quant à l' incorporation dans le texte final d' amendements clés consacrés , par exemple , aux références aux valeurs centrales de la Communauté - la démocratie , l' État de droit , le respect des droits de l' homme , la protection des intérêts communautaires , des dispositions renforcées en matière d' évaluation et d' élaboration de rapports pour la spécification d' une enveloppe financière indicative pour la période 2007-13 , ou l' ajout de la clause de révision .
faire face à question	Literal	Il est très important de faire face à la question de l' immigration , de gérer les flux migratoires lorsque nous obtenons la compréhension et la coopération des pays d' origine et de transit .
faire précision	Figurative	Cette précision étant faite , je dirai que le groupe du parti populaire européen soutient le rapport Evans .
susciter débat	Literal	Le premier consistait à décrire la manière dont la Commission avait entamé le processus de simplification ; le second consistait à présenter un document de travail de la Commission qui analyse les principales statistiques du secteur , la mise en œuvre des organisations de producteurs ainsi que les fonds opérationnels qui y sont liés et les aspects budgétaires ; enfin , le troisième consistait à susciter un débat au sein du Conseil , du Parlement européen et du secteur lui-même .
perdre confiance	Literal	J' ai bien peur que cela n' ait un effet boule de neige et que nous ne perdions très certainement la confiance de nos consommateurs européens , indépendamment des effets qui se font actuellement ressentir au niveau du commerce .
décès imputable à	Literal	La présente directive mettra la Communauté européenne en première ligne de la bataille pour contrôler le nombre de décès et de maladies imputables au tabac .
comprendre sens	Literal	Vous comprenez à présent parfaitement le sens de ma question et vous allez y répondre et m' assurer que cet argent , qui a été illégalement transféré par des dictateurs et des terroristes , sera rendu au peuple des anciennes colonies concernées ?
améliorer économie	Literal	Il faut trouver un juste équilibre : protéger la beauté , l' héritage et l' environnement naturels qui donnent tout son attrait à une région , tout en tirant un maximum de ces atouts naturels pour améliorer l' économie locale .
traiter point	Figurative	Parmi ces douze priorités essentielles , avec ma collègue , nous veillerons à ce que le point que vous avez soulevé soit traité de manière satisfaisante et à ce que la Commission ne recommande pas d' entamer les pourparlers d' adhésion avant que les questions , comme celle que vous avez soulevée , ne soient traitées de manière satisfaisante .
aborder aspect	Figurative	Autant d' aspects spécifiques qui devraient être abordés par la Commission .
apporter réponse à problème	Literal	Nous obtiendrons de la sorte une véritable diminution de la capacité tout en apportant une réponse aux problèmes liés au carburant .
relancer économie	Literal	L' Union européenne étend à fort juste titre les possibilités d' exportation en faveur des entreprises russes sur les marchés communautaires afin de relancer l' économie russe .
diminuer coût	Literal	Certes , nous devons nous préoccuper des problèmes humains liés à la compression de la main- d' uvre , mais dans le même temps , nous devons nous souvenir que le coût des denrées alimentaires a diminué .
émettre commentaire	Literal	Dans l' intervalle - et , là aussi , je me fais l' écho de commentaires émis dans les deux rapports que nous envisageons - , nous ne devrions pas attendre que la Charte entre en vigueur pour redoubler d' efforts en matière de promotion des droits de l' homme et des libertés démocratiques dans la région .
se pencher sur défi	Figurative	C' est un acquis positif parce que nous devons nous pencher conjointement avec la Libye sur tous les défis auxquels cette dernière est confrontée en ce qui concerne les migrations .
traiter situation	Figurative	Deuxièmement , le rapport du Parlement explique de manière convaincante la nécessité d' adopter une approche holistique pour traiter la situation socio-économique des Roms .
traitement de question	Literal	Et dans un sens , cela revient à construire les différents éléments de ce que nous faisons bien - le travail que nous faisons dans le renforcement de l' État , dans la justice , sur le respect du droit , le travail que nous accomplissons en ce qui concerne les programmes de développement , le travail que nous accomplissons sur le traitement des questions du changement climatique , le travail que nous accomplissons en apportant notre soutien aux gouvernements et aux populations - tout cela est conçu pour augmenter notre sécurité , notre stabilité et notre prospérité , mais en réalité , en faisant cela , nous créons un monde plus sûr , plus stable et plus prospère .
solution à donner à problème	Literal	Malgré les preuves de plus en plus évidentes de l' exploitation irrationnelle et excessive des sources naturelles d' énergie et le fait que la vie quotidienne fasse partie des préoccupations relatives à la durabilité de l' environnement naturel , aujourd'hui l' humanité , et surtout les responsables politiques , manquent d' une conception claire de la solution à donner au problème .
frapper confiance	Figurative	En ce qui concerne le pourcentage accordé au Royaume-Uni , ne pense-t -il pas qu' il serait plus équitable d' octroyer un pourcentage plus important au pays dont le marché et où la confiance du consommateur dans ce marché ont été le plus gravement frappés ?
résultat être	Figurative	S' il existe un moyen de prévenir les députés présents dans les locaux du Parlement qu' il va y avoir un vote et d' ajourner celui-ci jusqu'à leur arrivée , faisons -le car le résultat du vote sera peut-être plus représentatif .
relance de économie	Literal	Ensuite , je voudrais revenir sur les propos tenus par le premier ministre irlandais , M. Bruton , au sujet du rôle du gouvernement dans la génération d' emplois et la relance de l' économie .
rupture de accord	Figurative	À présent , en cas de rupture de l' accord interinstitutionnel , nous en revenons au Traité , qui confère au Parlement bien davantage de pouvoir et d' autorité .
émettre doute	Figurative	Au Royaume-Uni , le précédent gouvernement conservateur a émis de sérieux doutes sur l' avènement ou non de l' euro .
être responsable de décès	Literal	Le tabac est responsable de 85 % des cas des cancers du poumon et la moitié des décès prématurés chez les personnes ayant fumé toute leur vie sont causés par le tabac .
aborder point	Figurative	Le troisième point que je voulais aborder est le cas de la Chine .
œuvrer à la résolution de problème	Figurative	"C' est pourquoi j' estime que les hommes et femmes politiques qui œuvrent à la résolution de ces problèmes de façon responsable et politiquement subtile sont "" cool "" , tout comme ceux et celles qui voteront aujourd'hui pour le rapport de M. Gahler ."
réduire prix	Literal	Grâce au système de prix différentiés et au déliement de l' aide , nous avons pu contribuer à réduire les prix des médicaments jusqu’à 90 % .
prendre problème à bras le corps	Figurative	Je nous soupçonne , Monsieur le Président en exercice , de ne pas avoir le courage de prendre cet important problème à bras-le-corps .
ternir confiance	Figurative	Si la chaîne alimentaire européenne demeure une des plus sûres au monde , des scandales récents ont terni la confiance de nos consommateurs dans les aliments que nous mangeons et les méthodes que nous utilisons pour les produire .
comprendre enjeu	Literal	Ce sont des personnes clés , car elles comprennent les enjeux sociaux , politiques et culturels , dont nous n' avons peut-être pas conscience lorsque nous débarquons sur place pour effectuer notre mission d' observation des élections .
gérer project	Literal	Lorsque je faisais partie de la commission du contrôle budgétaire et que j' ai rencontré les personnes qui géraient ce projet , leur connaissance quant à la gestion d' une telle entreprise était loin de m' impressionner , et je viens du milieu industriel et financier .
attirer professionnel	Figurative	Nous essayons donc d' attirer les professionnels de la santé d' autres pays afin de régler nos propres problèmes .
répondre à problème	Figurative	Quelles mesures la Présidence entend -elle prendre en vue de répondre à ce problème ?
aborder ce qui touche	Figurative	Ce n' est que l' Union dans son ensemble sera compétitive que nous pourrons aborder convenablement tout ce qui touche à la solidarité .
prendre question en considération	Figurative	Je demanderais au Parlement de reconsidérer son point de vue , parce que j' estime qu' il est crucial que la question de la comitologie soit sérieusement prise en considération en la matière .
affronter problème	Figurative	L' Union européenne doit naturellement affronter ces problèmes , y compris celui de la stabilité financière .
amélioration de service	Literal	Ma commission pense que cet argent , dont le montant est inapproprié pour le moment , doit être employé à l' amélioration des équipements et services offerts ; c' est pourquoi nous voulons également voir développer une stratégie de développement des services permettant aux réfugiés et aux personnes déplacées de jouer un rôle pleinement actif dans la société , sur un pied d' égalité .
contracter maladie	Figurative	Si l' un des animaux contracte la maladie , pourquoi faut -il abattre tout le troupeau ?
poursuivre remarque	Figurative	Pouvez -vous répondre à ma question avant que je ne poursuive mes remarques ?
remédier à situation	Figurative	Espérons que ce rapport , ainsi que la directive sur l' emploi , permettront de remédier à cette situation .
établir relation	Literal	Ce Livre blanc admet que la responsabilité n' est efficace que si le pollueur est identifiable , si le dommage peut être quantifié et si l' on peut établir une relation claire de cause à effet entre les deux .
clore débat	Figurative	Monsieur le Président , en tant que porte-parole du groupe du parti populaire européen , je vais clore ce débat au nom de mon groupe en disant que nous allons appuyer le rapport de M. Barros Moura .
payer taxe	Literal	Les conducteurs de camions non britanniques ne paient pas les taxes routières britanniques .
atteindre moyen	Literal	La première particularité , à laquelle le commissaire a fait référence , est la façon dont nous sommes passés de la confrontation à la codécision dans la procédure budgétaire , comme si nous atteignions par magie les moyens d' être capables d' estomper la distinction entre les dépenses obligatoires et les dépenses non obligatoires sans devoir passer par une révision du traité .
aborder préoccupation	Figurative	Le président en exercice a abordé certaines de ces préoccupations lors de son intervention .
faire commentaire	Literal	Je ne ferai pas de commentaires à propos du problème qui a été soulevé , mais c' est la seconde fois que les mêmes manifestants nous barrent l' accès au Parlement .
traiter question	Literal	J' ai voté en faveur de la proposition de résolution sur le recyclage sûr des navires , car je pense qu' il est essentiel que cette question soit traitée comme faisant partie intégrante du cycle de vie du navire .
modeler débat	Literal	Le plus important est que nous devrons modeler le débat international pour l' après -2012 .
résoudre situation	Literal	Par ce vote , nous reconnaissons que les propositions sont loin d' être parfaites mais qu' elles s' efforcent quand même de résoudre la situation actuelle .
amélioration de système	Literal	Pour ce qui est de la question des paiements de détail transfrontaliers , qui a été soulevée en diverses occasions par le Parlement européen , rappelez -vous qu' en septembre 1999 , la BCE a publié un rapport intitulé L' amélioration des systèmes de paiements de détail transfrontaliers - le point de vue de l' Eurosystème .
réduction de frais	Literal	Les traductions représentent pour le moment le plus gros problème à résoudre dans le cadre de la réduction des frais et de l' accélération du processus de délivrance .
lutter contre problème	Figurative	Une telle promotion complique de plus en plus pour les parents la défense d' une alimentation saine : des limites à ces promotions sont donc indispensables pour lutter contre ce problème .
saisir aspect	Figurative	Les Chinois semblent incapables de saisir cet aspect essentiel signalé par M. Watts et d' autres orateurs , selon lequel Hong-Kong n' est pas simplement une usine à fabriquer de l' argent ; sa prospérité économique dépend du bien-être de ses citoyens ; faut que cela soit compris .
comprendre message	Literal	J' ai parfaitement compris le message , Monsieur Wynn .
approche de problème	Literal	M. De Luca a parfaitement raison de dire que le résultat de cette enquête a rapproché la Commission et la commission du contrôle budgétaire du Parlement dans leur approche des différents problèmes .
se trouver face à problème	Figurative	Au bout de cette route , le Parlement se trouvera face à un grave problème , celui de trouver les ressources humaines nécessaires pour assurer la pérennité du secteur agricole .
remédier à problème	Literal	Le gouvernement royal du Cambodge a récemment pris une série d' initiatives positives pour remédier au problème , en ce compris la signature de protocoles d' entente avec la Thaïlande sur la traite des femmes et des enfants et sur la gestion de la main- d' œuvre migrante entre les deux pays , la participation à l' Initiative ministérielle coordonnée contre le trafic dans la région du Mékong et la création d' un département du trafic inhumain au sein du ministère de l' intérieur en 2002 .
investir argent	Literal	Je ne veux pas que quelque banque de clowns nationalisée se permette d' investir mon argent ou celui de mes électeurs .
se saisir de problème	Figurative	C' est à n' en point douter un problème dont la conférence des présidents pourrait se saisir et qu' elle pourrait régler équitablement .
améliorer travail	Literal	Nous devons apprécier ce mécanisme et utiliser l' expérience des personnes que nous représentons , expérience exprimée à travers leurs pétitions , en vue d' améliorer globalement notre travail .
susciter confusion	Literal	Ce rapport , dont le titre suscite probablement davantage de confusion qu' il ne fournit d' explications aux personnes qui ne sont pas au courant , est en réalité une série d' amendements séparés visant à mettre à jour le règlement original .
soulever point	Figurative	Le point que je voulais soulever au travers de cette question est que la concentration de la propriété dans le secteur des médias génère parfois des problèmes au niveau de la liberté de la presse , en particulier lorsque cette concentration de la propriété déborde du cadre strict de la propriété des journaux pour s' étendre à d' autres sphères de l' économie .
réduction de coût	Literal	Je soutiens pleinement l' idée avancée par M. Ferber concernant la création d' une agence interinstitutionnelle pour le recrutement parce que je crois que cela contribuera à la réduction des coûts et à la réduction de la concurrence à laquelle se livrent les institutions pour attirer du personnel .
lutte contre problème	Figurative	Par le biais de l' utilisation d' un étiquetage clair , les individus commencent à réaliser qu' ils peuvent jouer leur rôle dans la lutte contre le problème de la pauvreté internationale .
s’atteler à problème	Figurative	Monsieur le Président , je ne crois pas que la Commission se soit suffisamment attelée aux problèmes qui se posent dans les différents États membres .
stimuler débat	Figurative	Ce livre vert stimule actuellement un débat important et - selon moi - bienvenu sur la manière de lever les obstacles afin de réaliser des économies d' énergie substantielles d' ici 2020 .
tenir compte de besoin	Literal	L' article 7 , paragraphe 4 , point e , dispose que les autorités réglementaires nationales tiennent compte des besoins de groupes sociaux particuliers , en particulier des personnes handicapées .
finir par aboutir	Literal	Quelles garanties le Conseil peut -il par conséquent nous donner que tous les produits envoyés par l' Union européenne à la Russie finiront par aboutir entre les mains de ceux qui en ont véritablement besoin ?
casser contrat	Figurative	Le contrat ayant été signé par le gouvernement conservateur précédent , M. Cook a déclaré qu' il ne pouvait pas être cassé .
appeler réponse à problème	Figurative	Le commissaire envisage-t -il d' instituer un instrument financier permettant de résoudre un problème dont il voit clairement qu' il appelle une réponse ?
monter campagne	Figurative	Il est tout aussi clair que l' Europe n' a pas les ressources pour une identité européenne de défense : nous ne pouvons monter une campagne sans le soutien des Américains et de l' OTAN .
oublier problème	Literal	Dès lors , faisons en sorte d' adopter la directive mais n' oublions pas les autres problèmes .
se poser question	Literal	Si nous voulons nous assurer de la victoire sur les marchands de peurs qui sont parmi nous - ceux qui tirent leur pouvoir de l' anxiété des citoyens - nous devons alors nous poser sérieusement la question de savoir comment vivre ensemble et comment démanteler les stéréotypes négatifs que nous cultivons les uns sur les autres au sein de l' actuelle Union européenne ainsi que parmi ceux qui cherchent à se joindre à nous et , en outre , parmi ceux qui se trouvent dans d' autres pays d' Europe et du monde et qui souhaitent venir vivre et travailler en Europe .
s’agir de observation	Figurative	Il s' agissait , en réalité , d' une observation à caractère général sur un point de l' ordre du jour et nous en prenons note .
trouver solution	Literal	Il incombe maintenant aux pétroliers et aux gouvernements des pays qui ne disposent pas de plans d' urgence de trouver des solutions pour les personnes possédant ces voitures , soit par la commercialisation d' additifs pour le plomb , soit par la commercialisation d' essence dont la formule aura été modifiée .
organiser production	Literal	Il appartient à chaque entreprise de décider et d' organiser sa production , selon ses propres critères , entre une ou plusieurs usines de transformation .
se frayer chemin	Figurative	L' Union européenne doit maintenant se frayer son propre chemin .
trouver méthode	Literal	Des groupes de députés restent évidemment libres de trouver d' autres méthodes de travail , ils le font déjà , et j' imagine que ce processus se poursuivra et prendra de l' ampleur .
diminution de prix	Literal	Selon les estimations , un accord UE-Mercosur pourrait entraîner une diminution des prix du bœuf irlandais de 30 % , ce qui infligerait , rien qu' à l' Irlande , des pertes pouvant atteindre 500 millions d' euros .
réponse à défi	Literal	Consciente des défis qui se présentent , la Commission européenne a mis en place une politique de développement misant sur la lutte contre la pauvreté , la promotion du développement durable et la réponse aux défis politiques pour contribuer à la stabilité .
faire remarque	Literal	Avant de parler de l' aide fournie par ECHO jusqu'à présent , peut-être me permettrez -vous de faire trois remarques plutôt personnelles .,Je voudrais faire quelques remarques techniques sur le rapport .,J' aimerais tout d' abord m' y attarder et ensuite faire quelques dernières remarques concernant notre débat sur Johannesbourg .,Je voudrais faire quelques remarques d' ordre général et ensuite en venir à mon rapport .,J' aurai d' autres remarques à faire sur la résolution .,Je voudrais également faire quelques remarques générales .,Permettez -moi de faire quelques remarques stratégiques pour commencer .,Permettez -moi à présent de faire quelques remarques sur le volet du nouvel accord relatif à la sécurité extérieure , pour lequel la présidence joue aussi un rôle aussi dans les négociations .,Monsieur le Président , Mesdames et Messieurs , avant d' entamer le débat , je voudrais faire quelques premières remarques essentielles .,Mais je souhaiterais faire quelques remarques factuelles .,au nom du groupe Verts / ALE . - ( DE ) Madame la Présidente , je ne souhaite pas répéter ce qu' ont déclaré fort justement mes collègues qui m' ont précédé mais j' aimerais plutôt faire quelques remarques générales .,Je voudrais faire quelques remarques générales et quelques remarques spécifiques sur le plan d' action présenté .,Je souhaiterais faire trois remarques très brèves .,Je voudrais faire mes remarques à la lumière de trois événements importants à venir : la réunion ministérielle UE-Ukraine qui se tiendra à Luxembourg le 26 octobre , les élections locales qui auront lieu le 31 octobre , et le 14e sommet UE-Ukraine qui se tiendra à Bruxelles le 22 novembre .,Pour conclure , je voudrais faire quelques remarques sur les activités extérieures de la BEI .,Je voudrais faire quelques remarques sur la procédure et les auditions .,Je souhaiterais toutefois faire quelques remarques sur le côté politique du discours de M. Prodi .
résorber inégalité	Figurative	Cela implique aussi un partenariat à tous les niveaux , pour répondre aussi efficacement que possible aux plus gros besoins du public et résorber les inégalités sur le plan de la santé , surtout dans le contexte actuel de l' élargissement , au sujet duquel la Commission devrait nous présenter tout prochainement un nouveau texte très attendu .
gérer phénomène	Figurative	Des mesures comme celle-ci sont indispensables car elles fournissent aux autorités les outils et l' objectif commun nécessaires pour gérer ce phénomène d' envergure européenne .
évoquer problème	Figurative	Monsieur le Député , vous avez évoqué un problème très grave que le Conseil a effectivement traité en détail dans un débat très sérieux .
parler de question	Literal	J' aurais dû dire , lorsque j' ai parlé de la question des tests , que les tests en exploitation ne sont pas encore disponibles .
gérer crise	Literal	L' accent sera mis en particulier sur la transparence et la protection des consommateurs , ainsi que sur l' élaboration d' un cadre relatif aux crises bancaires , dans le but de prévenir et de gérer toute crise future .
s' engager sur la voie	Figurative	Nous espérons qu' au bout du compte , ce pauvre pays en développement parviendra progressivement à s' engager sur la voie de la paix et de la prospérité dont il a tant besoin , et ce dans l' intérêt de tous ses citoyens .
combattre problème	Figurative	Je pense que les problèmes principaux des îles peuvent être combattus plus efficacement avec , par exemple , des instruments horizontaux .
concerner question	Figurative	D' autres amendements concernent la question des possibilités pour les États membres d' aller au-delà du minimum exigé par la législation de l' UE pour leurs propres flottes , .
trouver façon	Literal	C' est pourquoi nous devons trouver la bonne façon de les faire avancer .
lutter contre mal	Figurative	Parallèlement , nous actualiserons également l' approche globale de la migration dans le cadre des préparatifs accomplis en vue du Conseil européen de décembre , et travaillerons à lutter contre le mal à sa racine lors de la conférence euro-africaine sur la migration et le développement qui aura lieu le mois prochain .
lire livre	Literal	Mme van den Burg a demandé si j' avais lu le livre de M. Seifert .
