pairs	# instances	inflected_pairs	# inflected_pairs	source_alignments	# source_alignments	all_translations	# all_translations	uniq_translations	# uniq_translations	fig_or_lit
make remark	137	make remarks,made remarks,make remarks,made remarks,make remarks,make remark,make remark,made remarks,made remarks,make remarks,make remarks,made remark,made remarks,make remarks,make remark,make remarks,make remarks,make remarks,make remarks,make remarks,made remarks,made remarks,made remarks,made remarks,make remarks,make remarks,making remarks,make remarks,make remark,made remarks,made remarks,make remark,made remarks,made remarks,make remarks,make remarks,make remarks,make remark,made remarks,made remarks,make remark,made remarks,made remarks,make remarks,made remark,make remarks,made remarks,make remarks,made remark,made remarks,make remarks,made remarks,made remark,making remarks,make remarks,making remarks,made remarks,made remarks,made remarks,make remarks,made remarks,made remarks,make remarks,makes remarks,made remarks,made remarks,make remarks,made remarks,made remarks,made remarks,made remarks,making remark,make remark,making remarks,make remark,make remarks,made remarks,made remarks,made remarks,make remarks,make remarks,make remarks,make remarks,make remarks,make remark,made remarks,make remark,made remarks,made remarks,make remarks,make remarks,make remarks,made remarks,made remarks,make remarks,make remarks,make remarks,made remark,make remark,made remarks,make remarks,make remark,made remarks,made remarks,make remarks,make remarks,make remarks,make remarks,make remarks,make remarks,make remark,make remarks,made remarks,made remarks,made remark,make remarks,make remarks,made remarks,made remarks,made remark,made remarks,made remarks,made remark,making remarks,made remarks,make remarks,make remark,making remarks,make remark,make remarks,made remark,made remark,made remarks,make remark,make remarks,made remarks,make remark	7	make remarks,remarks has just has just made,will make remarks,remarks that are made,make remarks,make remark,make cautionary cautionary cautionary remark remark remark,remarks made,remarks were were made,make remarks,make remarks,made made remark,remarks has made,make make make remarks,make remark,make remarks,make remarks,remarks make,make remarks,remarks made,remarks have been made,remarks made made,made made remarks,remarks have been made,make remarks,make remarks,avez making remarks,make remarks,make remark,remarks made ai,remarks made made,make remark,remarks avais made,remarks have just have just been made,make make remarks,make remarks,make remarks,make remark,remarks made made,remarks made,make remark,made made remarks,remarks made,make remarks,made ai remark,remarks make,remarks made,make remarks,remark made,made made remarks,make remarks,remarks made,remark was was made,making remarks,make remarks,making making remarks,made made remarks,remarks have made,made made remarks,make remarks,remarks remarks,remarks are made,make make remarks remarks,makes remarks,remarks have been made,remarks made,make remarks,remarks have have just just made,remarks made,remarks were made,remarks made,making making remark,did make remark,remarks shall be making,make remark,make remarks,remarks were made made,remarks have been made,remarks were were made,make remarks,make remarks,make remarks,will make remarks,make remarks,make remark,remarks have been made,make remark,made made remarks,remarks that have been made,make make remarks,make remarks,make remarks,remarks was was made,have made remarks,make remarks,make remarks,make remarks,made made remark,remark make,remarks are made,make remarks,make remark,remarks have been made,made a remarks,make remarks,make remarks,shall make remarks,make remarks,make remarks,make remarks,remark make,make remarks,remarks venez made made,made made remarks,remark has has just just made,make remarks,make make make remarks,remarks made,made remarks,made made remark,remarks made made,remarks made,remark made made,en making remarks,remarks were were made,make remarks,make remark,have been making remarks,make remark,make remarks,remark be made,having made remark,remarks are made,make remark,make remarks,made made remarks,make remark	50	faire remarques,observations vient vient de de faire,ferai ferai remarques,remarques formulées formulées formulées,exprimer remarques,faire remarque,faire mise en garde mise en garde,remarques faites,remarques ont été faites,faire remarques,émettre remarques,a émis critique,remarques a formulées,faire part de remarques,faire observation,émettre remarques,émettre remarques,remarques émettre,donner conclusion,remarques NULL,remarques faites faites faites,remarques faites a,ai fait remarques,remarques ont été faites,faire remarques,faire remarques,formulé formulé remarques,faire remarques,faire remarque,remarques formulées formulées,remarques avez faites,faire remarque,remarques faites faites,remarques viennent viennent d' d' être formulées,terminerai par remarques,faire remarques,formuler remarques,formuler remarque,remarques a faites,commentaires NULL,ferai remarque,a fait remarques,commentaires faits,formuler remarques,formulé formulé remarque,remarques faire,remarques exprimées,poursuive remarques,remarque NULL,ont émis remarques,formuler remarques,remarques NULL,remarque a été faite,NULL propos,formuler remarques,tenu a propos,formulé a remarques,remarques NULL NULL,a formulé remarques,formuler remarques,remarques faites,remarques fais fais,m' exprimer m' exprimer,contient remarques,remarques formulées formulées formulées,remarques NULL,ferai remarques,remarques viens de viens de faire,commentaires NULL,remarques formulées formulées,remarques NULL,en formulant remarque,ai fait remarque,remarques formulerai formulerai formulerai,faire remarque,formuler remarques,remarques avaient trait à,remarques ont été faites,remarques ont été faites,formuler remarques,faire remarques,dire mots,ferai ferai remarques,formuler remarques,fais remarque,remarques ont été faites,formuler remarque,avaient tenu propos,remarques exprimées exprimées exprimées exprimées,en formulant remarques,formuler remarques,faire remarques,remarques a été formulée,ont fait commentaires,formuler remarques,faire remarques,formuler remarques,a fait remarque,remarque NULL,NULL insinuent insinuent,faire remarques,faire remarque,remarques ont été formulées,formulé formulé remarques,faire remarques,faire remarques,ferai ferai remarques,faire remarques,apporter remarques,faire remarques,remarque formuler,formuler remarques,remarques faire de faire,a formulé remarques,remarque vient de vient vient faire,faire remarques,faire part de remarques,commentaires NULL,parle NULL,a fait remarquer,remarques a formulées,remarques NULL,remarque ai faite,faisant faisant remarques,remarques aient été faites,NULL remarques,faire remarque,ont ont multiplié interventions,faire remarque,faire remarques,constat NULL NULL,étant faite précision,remarques sont faites,NULL mot,faire remarques,ai parlé parlé,préciser point	81	faire remarque,formuler remarque,exprimer remarque,émettre remarque,faire observation,faire mise en garde,émettre critique,faire part de remarque,donner conclusion,faire commentaire,poursuivre remarque,s'exprimer,contenir remarque,dire mot,tenir propos,NULL propos,NULL remarque,NULL commentaire,remarque avoir trait à,apporter remarque,parler,préciser point,terminer par remarque,insinuer NULL,multiplier intervention,NULL constat,NULL mot,faire précision	28	Literal,Literal,Literal,Literal,Literal,Figurative,Literal,Literal,Literal,Literal,Figurative,-,Figurative,Literal,Figurative,-,-,-,Figurative,Figurative,-,Figurative,Literal,-,Figurative,-,-,Figurative
manage job	1	manage job	1	manage job	1	décroche emploi	1	décrocher emploi	1	Figurative
manage project	1	managing project	1	were managing project	1	géraient géraient projet	1	gérer project	1	Literal
misinterpret word	1	misinterpreted words	1	words may may misinterpreted misinterpreted	1	paroles soient soient mal interprétées	1	mal interpréter paroles	1	Literal
organise conference	4	organised conference,organise conference,organised conference,organised conference	2	conference was was organised,organise conference,organised organised conference,conference was was organised	3	Conférence a été organisée,organiser conférence,a organisé conférence,conférence a été organisée	4	organiser conférence	1	Literal
organise production	2	organise production,organise production	1	organise production,organise production	1	organiser production,organiser production	1	organiser production	1	Literal
pay fee	2	pay fee,pay fee	1	pay fee,pay fee	1	payer redevance,payer cotisation	2	payer redevance,payer cotisation	2	Literal,Literal
pay tax	1	pay tax	1	pay tax	1	paient taxes	1	payer taxe	1	Literal
pose challenge	1	pose challenges	1	pose challenges challenges challenges	1	constituent remises en question	1	constituer remise en question	1	Figurative
pose problem	5	pose problems,poses problems,poses problems,poses problems,poses problems	2	would pose problems,poses problems,poses problems,poses problems,poses problems	2	poserait poserait problèmes,pose problèmes,pose problème,pose problèmes,pose problèmes	3	poser problème	1	Figurative
pose question	31	pose question,posed question,posing question,posed questions,pose question,posed question,pose question,pose question,posed questions,pose question,poses questions,pose question,poses questions,posing questions,posed questions,poses question,posed questions,poses questions,pose questions,posed question,posing questions,pose questions,posed questions,pose questions,pose question,poses questions,posed question,pose question,pose question,pose questions,pose question	8	pose question,posed question,am posing question,questions posed posed,pose question,question was was posed,will pose question,pose question,questions have posed,question pose,poses questions,pose question,poses questions,posing questions,questions posed,poses question,questions posed,poses questions,pose questions,question posed,am posing questions,pose questions,questions have been posed,pose questions,pose pose question,poses poses questions,question has posed,pose question,pose question,pose questions,pose question	19	poser question,posait question,poserai poserai question,questions a posées,poser question,question a été posée,poserai poserai question,pose question,questions ont posées,question posée,soulève questions,poser question,soulève questions,posent questions,questions posées,soulève question,questions NULL,posent questions,posent questions,question posée,posé posé questions,poser questions,questions ont été posées,poser questions,se poser question,en posant questions,question a posée,pose question,poser question,soulever questions,poser question	20	poser question,soulever question,NULL questions,se poser question	4	Literal,Figurative,-,Literal
practice profession	1	practice professions	1	practice professions	1	exercer profession	1	exercer profession	1	Literal
practice religion	1	practice religion	1	practice religion	1	pratiquer religion	1	pratiquer religion	1	Literal
read article	1	read articles	1	articles have to be read	1	articles doivent doivent être lus	1	lire article	1	Literal
read book	3	reading book,read book,read book	2	have been reading reading book,book read read,had read book	3	terminer lecture du livre,livre ai lu,avais lu livre	3	lecture de livre,lire livre	2	Literal,Literal
recall memory	1	recall memory	1	recall recall recall memory	1	nous souvenons qu' mémoire	1	se souvenir de mémoire	1	Literal
reduce cost	8	reduce costs,reduce cost,reduce costs,reduce costs,reduce costs,reducing costs,reduce cost,reduced cost	4	reduce reduce costs,reduce cost,reduce costs,reduce costs,reduce reduce costs,reducing costs,reduce cost,cost has been reduced	5	réduction des coûts,réduire coût,réduire coûts,réduire frais,réduction des frais,réduire coûts,réduire coûts,coût a diminué diminué	6	réduction de coût,réduire coût,réduire frais,réduction de frais,diminuer coût	5	Literal,Literal,Literal,Literal,Literal
reduce economy	1	reduced economies	1	reduced reduced economies	1	a plongé économies	1	plonger économie	1	Figurative
reduce price	8	reducing price,reduce prices,reduced prices,reduced prices,reduce prices,reduce prices,reduce prices,reduced prices	3	reducing reducing price,reduce prices,prices have been reduced,prices be reduced,reduce prices,reduce reduce prices,reduce prices,have reduced prices	6	réduction du prix,baisser prix,prix réduire réduire réduire,prix réduire réduire,réduire prix,diminution des prix,réduire prix,ont diminué prix	7	réduction de prix,baisser prix,réduire prix,diminution de prix	4	Literal,Literal,Literal,Literal
reduce rate	1	reduce rate	1	reduce rate	1	réduire taux	1	réduire taux	1	Literal
saturate market	1	saturated market	1	market is saturated	1	marchés saturés saturés	1	saturer marché	1	Figurative
sell drug	1	sell drug	1	sell drug	1	vendent drogues	1	vendre drogue	1	Literal
stimulate activity	1	stimulate activity	1	stimulate stimulate activity	1	stimulation de activité	1	stimulation de activité	1	Figurative
stimulate debate	11	stimulated debate,stimulate debate,stimulating debate,stimulating debate,stimulate debate,stimulate debate,stimulate debate,stimulating debate,stimulate debate,stimulate debate,stimulate debate	3	have stimulated debate,stimulate debate,stimulating debate,is stimulating debate,stimulate debate,stimulate debate,stimulate debate,stimulating stimulating debate,stimulate debate,stimulate debate,stimulate debate	5	ont encouragé débat,susciter débat,stimuler débat,stimule stimule débat,stimuler débat,promouvoir débat,stimuler débat,promotion du débat,générer débat,stimuler débat,encourager débat	8	encourager débat,susciter débat,stimuler débat,promouvoir débat,promotion de débat,générer débat	6	Figurative,Literal,Figurative,Literal,Literal,Literal
stimulate economy	1	stimulate economy	1	will stimulate economy	1	stimule stimule économie	1	stimuler économie	1	Figurative
stimulate growth	1	stimulate growth	1	stimulate growth	1	stimuler croissance	1	stimuler croissance	1	Figurative
suggest idea	4	suggested idea,suggested idea,suggesting ideas,suggested ideas	3	est suggested idea,have suggested idea,suggesting ideas,suggested suggested ideas	4	suggérée suggérée idée,avons suggéré idée,suggérant idées,ont suggéré idées	4	suggérer idée	1	Literal
understand issue	1	understand issues	1	understand issues	1	comprennent enjeux	1	comprendre enjeu	1	Literal
understand meaning	3	understand meaning,understood meaning,understand meaning	2	understand meaning,understood understood meaning,understand meaning	2	comprenez sens,ont compris signification,comprenons signification	3	comprendre sens,comprendre signification	2	Literal,Literal
understand point	1	understands point	1	understands point	1	comprend remarque	1	comprendre remarque	1	Literal
understand problem	4	understood problems,understand problems,understand problems,understand problem	3	problems are understood,understand problems,understand problems,understand problem	3	problèmes sont compris,comprenons problèmes,comprenons problèmes,comprends problème	3	comprendre problème	1	Literal
understand question	1	understand question	1	understand question	1	comprends question	1	comprendre question	1	Literal
understand reason	3	understand reasons,understand reasons,understood reasons	2	understand reasons,understand reasons,understood reasons	2	comprends raisons,comprenant raisons,comprenions raisons	3	comprendre raison	1	Literal
