Phrase	Anno	Maj_anno	Sentence
ins Gespräch bringen	Literal,Figurative,Literal	Literal	Ich finde es jedoch offen gesagt sehr bemerkenswert , dass Herr Solana und Herr Blair sowie einige andere die Einrichtung eines aus dem Ratsvorsitz gebildeten Exekutivausschusses ins Gespräch bringen können , ohne dabei die Rolle der Europäischen Kommission zu erwähnen .
Ausstellung veranstalten	Literal,Literal,Literal	Literal	Wie die Abgeordneten dieses Hauses anerkennen werden , ist es üblich , daß die Ratspräsidentschaft eine Ausstellung zu einem kulturellen , sozialen oder geschichtlichen Thema in der Eingangshalle des JustusLipsius-Gebäudes veranstaltet .
Berücksichtigung Frage	Figurative,Literal,Literal	Literal	Wir danken der Kommission für die Berücksichtigung dieser komplexen Fragen , mit denen wir ursprünglich nicht gerechnet hatten .
Möglichkeit erörtern	Literal,Literal,Literal	Literal	Wäre die Frau Kommissarin bereit , mit Frau Morgan und mir in einem Gespräch praktische Lösungsmöglichkeiten zu erörtern ?
sich um Problem kümmern	Literal,Literal,Literal	Literal	Wenn die Haushaltsbehörde zustimmt , könnte einem Teil der Mitarbeiter auf diesen Stellen die Aufgabe zugewiesen werden , sich um die Probleme zu kümmern , über die wir heute sprechen .
zu Frage sprechen	Literal,Literal,Literal	Literal	In den wenigen Minuten , die mir gegeben wurden , möchte ich zu einigen der hier aufgeworfenen Fragen sprechen .
Bewältigung Problems	Figurative,Literal,Literal	Literal	Ich möchte gerne vom amtierenden Minster wissen , ob die Möglichkeit einer Bewältigung dieses Problems letztendlich darin besteht , die unterschiedliche Höhe der Verbrauchsteuern in den einzelnen Mitgliedstaaten zu prüfen . Vielleicht sollte dies das langfristige Ziel des Ministerrats sein .
Entschuldigung haben	Literal,Literal,Literal	Literal	Es spielt keine Rolle , wer du bist oder welche Entschuldigung du deiner Meinung nach für deine perverse , nihilistische und gewalttätige Ideologie hast .
Situation erfassen	Figurative,Literal,Figurative	Figurative	Wir brauchen ein paar Tage , um die Situation im Verfassungsgericht zu erfassen und zu beurteilen .
Beweisaufnahme schließen	Figurative,Literal,Literal	Literal	Wie ich bereits erwähnte , veröffentlicht die Kommission jetzt im Interesse einer größeren Transparenz ihre Entscheidungen , Fristsetzungsschreiben zu senden , begründete Stellungnahmen herauszugeben , Fälle an das Gericht zu verweisen , die Beweisaufnahme zu schließen oder einen Fall niederzulegen , sobald diese Entscheidungen gefasst worden sind .
Problem in den Griff bekomen	Figurative,Figurative,Figurative	Figurative	Diese Unterstützung wird aber nur dann die gewünschten Ergebnisse erzielen , wenn Israel und die Palästinensische Behörde so wichtige Probleme wie den Personen - und Güterverkehr zwischen dem Gazastreifen und dem Westjordanland sowie der restlichen Welt , die Gewächshäuser , die Grenzübergänge , den Abriss von Wohnhäusern in den Siedlungen und den Personenverkehr innerhalb des Westjordanlands in den Griff bekommen .
Frage aufgreifen	Figurative,Figurative,Figurative	Figurative	Fragen der Sicherheit werden auch in der kommenden Mitteilung über die Sicherheit elektronischer Netze aufgegriffen werden , die rechtzeitig vor dem Europäischen Gipfel in Göteborg vorgelegt werden soll .
in Frage Lösung finden	Literal,Literal,Figurative	Literal	Wenn in der Sprachenfrage jetzt keine radikale Lösung gefunden wird , verschärft sich dieses Problem nach der Erweiterung nur noch , wenn 40 Millionen Polnisch sprechender Menschen erwarten , dass ihrer Sprache dieselbe Priorität eingeräumt wird wie zum Beispiel dem Italienischen oder Spanischen .
Belebung Wirtschaft	Figurative,Figurative,Figurative	Figurative	Zweitens möchte ich auf eine Bemerkung des irischen Premierministers , Herrn Bruton , über die Rolle der Regierung bei der Schaffung von Arbeitsplätzen und der Belebung der Wirtschaft eingehen .
Bewältigung Aufgabe	Figurative,Literal,Literal	Literal	Für Albanien bildet langfristige politische Stabilität die grundlegende Voraussetzung für die Bewältigung der erforderlichen Aufgaben .
Handeln gegen Bedrohung	Literal,Literal,Literal	Literal	Die Entscheidung der Mitgliedstaaten , die Union zu einem Raum der Freiheit , der Sicherheit und des Rechts zu machen , sollte Anlass für rasches Handeln gegen die wachsende Bedrohung durch den Terrorismus sein .
über Problem sprechen	Literal,Literal,Literal	Literal	Im Zusammenhang mit dem Problem der Geldwäsche muß auch über das Bankgeheimnis und über Steueroasen gesprochen werden .
Punkt begreifen	Figurative,Literal,Literal	Literal	Wenn wir diesen wichtigen Punkt nicht begreifen , zerstören wir uns selbst , enterben unsere Kinder und verraten Europa und unsere Heimatländer .
Thema anpacken	Figurative,Figurative,Figurative	Figurative	Der Zeitpunkt ist daher gut gewählt , um auf diesem Gipfeltreffen wichtige Umweltfragen zu erörtern , die sowohl in der Union als auch in einem globaleren Kontext angepackt werden müssen .
sich auf Bereich konzentrieren	Literal,Literal,Literal	Literal	Den Vorschlägen des Berichterstatters , daß die Kommission sich auf die wichtigsten Themenbereiche konzentrieren muß , wie z. B. die Bedeutung und die allgemeinen Auswirkungen des Programms in bezug auf die vereinbarten Zielsetzungen , statt auf einzelne Programme , muß ich unbedingt zustimmen .
Urteilsvermögen getrübt sein	Figurative,Literal,Figurative	Figurative	Wir sollten die Kommission als Kollegium betrachten , und obwohl für die Kommissionsmitglieder das Prinzip der Einzelverantwortung gilt , müssen wir stets objektiv bleiben , und unser Urteilsvermögen darf nicht von europäischer Parteipolitik oder internationaler Politik getrübt sein .
mit Problem umgehen	Literal,Literal,Literal	Literal	Ich weiß natürlich , dass das alles hoch kompliziert und schwierig ist , doch nur sehr selten werden wir über Einzelheiten des Geschehens in diesen Teilen der Welt und darüber unterrichtet , wie wir mit den gravierenden Problemen von Kindern umgehen , die mit dem HI-Virus infiziert oder an Aids erkrankt sind .
Problem begegnen	Figurative,Literal,Literal	Literal	Daher müssen wir diesem Problem mit einem ganzheitlichen Ansatz begegnen , wozu auch die Einbindung unserer wichtigsten Partner gehört .
Verbindung auflösen	Figurative,Figurative,Literal	Figurative	Der neue Konvent sollte außerdem aufgefordert werden , die starre Verbindung zwischen dem ersten , zweiten und dritten Teil aufzulösen und eine angemessene Rangfolge zwischen diesen Teilen herzustellen , damit deutlich gemacht wird , dass die Politiken in Teil III Teil I ergänzen sollen .
sich Problem widmen	Figurative,Figurative,Literal	Figurative	Diesem Problem müssen wir uns dringlich und schleunigst , aber im Zusammenhang widmen .
Angelegenheit in Angriff nehmen	Figurative,Figurative,Figurative	Figurative	Es spricht nichts gegen einen selbstkritischen Blick jeder einzelnen Institution , um herauszufinden , welche Angelegenheiten am dringlichsten in Angriff genommen werden müssen , wie die Gesetzgebung verbessert und den Menschen nahe gebracht werden kann .
sich mit Problem befassen	Figurative,Literal,Literal	Literal	Die Regierung hat begonnen , sich mit diesem Problem zu befassen , und wir halten es für wichtig , dass diese Arbeit zügig vorangetrieben wird .
Fundament ins Wanken geraten	Figurative,Figurative,Figurative	Figurative	Wir sollten also sicherstellen , dass dieses Fundament zum Wohle Europas nicht ins Wanken gerät und dass das nach wie vor fragile Gefüge auf dem Balkan nicht vor unseren Augen und in unserer direkten Nachbarschaft in sich zusammenbricht !
sich Thema zuwenden	Figurative,Literal,Literal	Literal	Er sollte sich darüber hinaus dem bedeutenden Thema der Abschaffung der Todesstrafe zuwenden , und wir ersuchen die EU erneut , eine Resolution zu unterstützen , in der alle Staaten zur Einführung eines Hinrichtungsmoratoriums mit dem Ziel einer vollständigen Abschaffung der Todesstrafe aufgefordert werden , und wiederholen unseren Appell an die USA , China , Saudi Arabien , Kongo , Iran und andere Staaten , unverzüglich alle Exekutionen einzustellen .
Möglichkeit vereinbaren	Literal,Literal,Literal	Literal	Durch die Schaffung einer unnötigen und künstlichen militärischen Trennung waren die Europäische Union und die NATO zwei Jahre lang gezwungen , Möglichkeiten der Zusammenarbeit zwischen den beiden Systemen auszuhandeln und zu vereinbaren .
Anpacken Problem	Figurative,Figurative,Figurative	Figurative	Wir in der EU wissen , wie viel mehr wir durch Zusammenlegen unserer Ressourcen und Festlegung gemeinsamer Standards sowie durch gemeinsames Anpacken der Umweltprobleme mit grenzüberschreitenden Auswirkungen erreichen können .
Subventionen zahlen	Literal,Literal,Literal	Literal	Ich fordere den Kommissar auf sicherzustellen , dass alle Neuerungen unionsweit abgeglichen und einheitlich finanziert werden , so dass kein Mitgliedstaat mehr Subventionen als ein anderer an seine Fischwirtschaft zahlen kann .
Zweifel aufkommen lasse	Figurative,Literal,Figurative	Figurative	Nach der Anhörung sind neue Informationen ans Licht gekommen , die in der aktuellen Wochenendausgabe von The Sunday Times veröffentlicht wurden und weitere Zweifel darüber aufkommen lassen , ob Herr Busquin vor dem Parlament die Wahrheit gesagt hat .
Frage in Angriff nehmen	Figurative,Figurative,Figurative	Figurative	Der Standpunkt , dass Fragen der Einwanderung mittels Beschlussfassung mit qualifizierter Mehrheit und per Mitentscheidungsverfahren in Angriff genommen werden sollten , ist weit verbreitet .
Zweifel schüren	Figurative,Literal,Figurative	Figurative	Im Vereinigten Königreich schürte die vergangene konservative Regierung erhebliche Zweifel daran , ob der Euro tatsächlich eingeführt werden würde oder nicht .
Debatte schließen	Figurative,Literal,Literal	Literal	Nach dieser Rede des Herrn Kommissars , dem wir von ganzem Herzen Glück wünschen , in dem sicheren Wissen , dass er ausgezeichnete Arbeit leisten wird , wie er dies auch in der Vergangenheit getan hat , schließen wir an dieser Stelle die Debatte ab .
Bekämpfung Ursache	Figurative,Figurative,Figurative	Figurative	Warum haben wir die länderspezifischen Probleme nicht erkannt , um so unsere Hilfe auf die Bekämpfung der Armutsursachen konzentrieren zu können ?
in die Lage versetzen	Figurative,Figurative,Literal	Figurative	Die erste , auf die sich auch der Kommissar bezog , ist die Art und Weise , wie wir beim Haushaltsverfahren von einem Kurs der Konfrontation zu mehr Mitentscheidung umgeschwenkt sind , als ob wir wie durch Zauberei plötzlich in die Lage versetzt wurden , den Unterschied zwischen obligatorischen und nicht-obligatorischen Ausgaben in den Hintergrund zu drängen , ohne dazu erst eine Vertragsrevision durchlaufen zu müssen .
etw. gegen Situation unternehmen	Literal,Literal,Literal	Literal	Es ist an der Zeit , ein für allemal etwas gegen die in Haiti bestehende Armutssituation zu unternehmen .
mit Leben erfüllen	Figurative,Figurative,Figurative	Figurative	Wenn Pörtschach die Vision eines einigen Europa mit neuem Leben erfüllen kann , indem es den Weg zu diesen drei Konzepten - Frieden , Wohlstand und Sicherheit - weist , wird es eine neue und wichtige Agenda für die kommenden Jahre schaffen .
Aufgabe angehen	Figurative,Figurative,Literal	Figurative	Meine Kollegen haben meinem Vorschlag zugestimmt , dass die Diskussionen sich auf zwei umfangreiche Themen konzentrieren sollten , -- nachhaltiges Wachstum und Beschäftigung -- die als Hauptaufgaben dringend angegangen werden müssen .
Problem angehen	Figurative,Figurative,Literal	Figurative	Nur durch gemeinsame , allumfassende Maßnahmen können wir dieses Problem angehen , und nicht zuletzt dadurch , daß wir der extraterritorialen Anwendung der Strafgesetze zustimmen .
Abwicklung Beschwerde beitragen	Literal,Literal,Literal	Literal	Bezüglich der Entwicklung eines interaktiven Leitfadens zur Unterstützung der Bürgerinnen und Bürger bei der Ermittlung des geeignetsten Forums zur Lösung ihrer Probleme bin ich überzeugt , dass diese ausgezeichnete neue Website zur Abwicklung der Beschwerden hinreichend beitragen wird .
auf Problem abzielen	Figurative,Literal,Figurative	Figurative	Der vorliegende Vorschlag zielt genau auf dieses Problem ab .
Punkt erfassen	Figurative,Figurative,Figurative	Figurative	Die Chinesen können offensichtlich nicht den wesentlichen Punkt erfassen , auf den Herr Watts und andere hingewiesen haben , daß es sich nämlich nicht nur um eine Stadt handelt , in der Geld gemacht wird . Der wirtschaftliche Wohlstand hängt von dem Wohlergehen seiner Bürger ab , und dieser Punkt muß erst noch verstanden werden .
Thema behandeln	Literal,Literal,Figurative	Literal	Wenn wir unser Justizsystem und den Zugang zum Recht ersetzen bzw . verbessern wollen , sind diese Fragen für die Zivilgesellschaft von höchster Bedeutung , weshalb sie nicht ohne die Mitwirkung demokratisch gewählter Abgeordneter behandelt werden können und dürfen .
Aktion auf die Beine stellen	Figurative,Figurative,Figurative	Figurative	Es ist auch klar , daß Europa die Mittel für eine europäische Verteidigungsidentität nicht hat : Wir können ohne die Unterstützung der Amerikaner oder der NATO keine Militäraktion auf die Beine stellen .
Lösung finden	Literal,Literal,Literal	Literal	Wir müssen aber eine Lösung finden .
Erreichen Ziel	Figurative,Literal,Literal	Literal	Ich möchte hier eindeutig feststellen , daß meine Fraktion einen Änderungsantrag einbringen wird , der die Details streicht , die der Kommission zum Erreichen ihres Ziels vorgeschrieben werden sollen .
sich mit Frage auseinandersetzen	Literal,Literal,Literal	Literal	Die bevorstehende Sitzung der Menschenrechtskommission wird erneut Gelegenheit bieten , sich mit Fragen der Menschenrechte und des Terrorismus auseinander zu setzen und auf dem vom dritten Ausschuss gebilligten Vorschlag , demzufolge der Hohe Kommissar für Menschenrechte bei der UNO die Wahrung der Menschenrechte beim Kampf gegen den Terrorismus überprüfen soll , aufzubauen .
Sorge entsprechen	Literal,Literal,Literal	Literal	Die Einrichtung einer EU-Küstenwache wäre eine praktische Möglichkeit , weil sie den tatsächlichen Sorgen derjenigen entsprechen würde , die wir vertreten .
Idee im Umlauf bringen	Literal,Literal,Figurative	Literal	Sie liegen auch mir am Herzen und darum kann ich verstehen , warum andere Ideen in Umlauf gebracht wurden , um diese Prinzipien durch andere mögliche Mechanismen zu verwirklichen .
Kampagne durchführen	Literal,Literal,Literal	Literal	Herr Nielson , ich hoffe , daß wir die Informationen , die Sie uns heute gegeben haben , auch in Simbabwe verbreiten können , denn sie werden die Opposition ermutigen , die derzeit versucht , eine Wahlkampfkampagne durchzuführen , und ich halte dies für sehr wichtig .
Bereich angehen	Figurative,Figurative,Literal	Figurative	Aufbauend auf eine so starke strategische Partnerschaft können und sollten wir definitiv in der Lage sein , alle Themenbereiche , auch die sensibelsten , angehen zu können .
Inangriffnahme Krise	Figurative,Figurative,Literal	Figurative	Die Europäische Union teilt die Ansicht der internationalen Gemeinschaft , dass diese Vereinbarungen erste Voraussetzungen für die Inangriffnahme der verschiedenen Krisen im Sudan schaffen und damit zu einer umfassenden und dauerhaften Lösung der verschiedenen Krisen einschließlich der Darfur-Krise beitragen können .
Rate zurückgehen	Figurative,Literal,Figurative	Figurative	So ist das BIP um beinahe 5 % gestiegen , die Inflationsrate wesentlich zurückgegangen , Investitionen aus dem Ausland haben zu - und die Zahl der Arbeitslosen hat abgenommen .
Krise macht Handeln	Literal,Literal,Literal	Literal	Herr Präsident ! Ich stimme mit all denen überein , die auf eine bevorstehende Veterinärkrise hingewiesen haben , die schnelles Handeln erforderlich macht .
Bekämpfung Problematik	Figurative,Figurative,Figurative	Figurative	So sollte z.B. eine europäische Küstenwache zur Bekämpfung der Drogenproblematik eingerichtet werden , die für alle zur schrecklichen Plage geworden ist .
Frage prüfen	Literal,Literal,Literal	Literal	Kein Demokrat könnte oder würde komplexe Debatten scheuen , aber um die notwendige Klarheit und Sorgfalt in allen Diskussionen zu gewährleisten , wäre es zweifellos am besten , wenn die anstehenden Fragen unabhängig voneinander geprüft würden .
anstehend Thema	Figurative,Literal,Literal	Literal	Wir sind uns zwar darüber im Klaren und erkennen an , dass viele der in den nächsten Monaten anstehenden Themen äußerst schwierig sind , aber wir bitten Sie , keine Verzögerungen entstehen zu lassen .
Entschuldigung bieten	Literal,Literal,Literal	Literal	Können wir das Vertrauen wirklich wiederherstellen und die Wähler inspirieren , wenn unsere Politik nur von einer nationalen Wahl zur nächsten reicht und wenn diese Wahlen eine willkommene Entschuldigung dafür bieten , dass wir unsere gemeinsamen politischen Strategien nicht umsetzen ?
Bekämpfung Geißel	Figurative,Literal,Figurative	Figurative	Die Europäische Union muss beweisen , dass sie diese Vision teilt und über ebenso viel Phantasie und Engagement verfügt , indem sie ihren finanziellen Beitrag drastisch anhebt und bei der Bekämpfung der schlimmsten Geißel unserer Zeit eine führende Rolle übernimmt .
Annahme Herausforderung	Literal,Literal,Literal	Literal	Herr Präsident , ich habe in dieser Kammer den sehr starken Eindruck , dass Europa sich weiter bewegen sollte , um ein stärkerer , größerer Akteur in der Welt zu sein und Entschlossenheit zu zeigen , wenn es um die Wirtschaft , die Bekämpfung der Arbeitslosigkeit , die Annahme der Herausforderungen der Globalisierung und das Klimaproblem geht .
Krise Maßnahme entgegensetzen	Figurative,Figurative,Literal	Figurative	Der Ende der Neunzigerjahre zum südkoreanischen Präsidenten gewählte Kim Dae Jung konnte der Wirtschaftskrise wirksame Maßnahmen entgegensetzen und bemühte sich um die Durchführung der Sonnenscheinpolitik , mit der eine Normalisierung der Beziehungen zu Nordkorea herbeigeführt werden sollte .
Vereinbarung aufkündigen	Literal,Literal,Literal	Literal	Es gibt keinen Grund , diese Vereinbarungen aufzukündigen .
Problem stellen	Figurative,Literal,Figurative	Figurative	Früher oder später müssen wir uns bei der Auseinandersetzung mit Allergien im Kontext der Etikettierung dem Problem der speziellen Interessen stellen , an dem bisher die exakte Etikettierung einiger Produkte sowie die einheitliche Anwendung der Bestimmungen gescheitert ist .
Behebung Problem	Literal,Literal,Literal	Literal	Die Kommission hat zur Behebung dieser Probleme einen dualen Ansatz gewählt : Vertragsverletzungsverfahren bei inkorrekter Umsetzung der Vorschriften und Änderungen der Vorschriften , sofern diese nicht klar und eindeutig genug waren .
Thema erörten	Literal,Literal,Literal	Literal	Dieses Thema muß in dieser Regierungskonferenz dringend erörtert werden .
Inhalt verarbeiten	Literal,Literal,Literal	Literal	Da Sie möglicherweise aber nicht alle genügend Zeit hatten , um deren Inhalt zu verarbeiten , möchte ich daher die Hauptpunkte kurz zusammenfassen .
Überwindung Krise	Figurative,Figurative,Literal	Figurative	Die Reduzierung der Armut , der Kampf gegen den Klimawandel und die Überwindung der Finanzkrise erfordern zusätzliche Einnahmen von mehreren hundert Milliarden Euro .
Kampagne starten	Literal,Literal,Literal	Literal	Und wir müssen bei den Vereinten Nationen eine ernsthafte Kampagne starten , um Sanktionen gegen Birma zu erwirken .
Weg finden	Figurative,Figurative,Literal	Figurative	Es ist wichtig , daß wir dafür neue Wege finden .
Rate betragen	Literal,Literal,Literal	Literal	Herr Präsident ! Die Wachstumsrate der Europäischen Union ist seit Jahren rückläufig und beträgt seit kurzem weniger als 2 % pro Jahr .
Behandlung Problem	Figurative,Literal,Literal	Literal	Dafür bräuchte man entweder ein bilaterales Abkommen mit Japan , um sicherzustellen , daß sie die Wettbewerbsregeln so einhalten , daß ihre Märkte offen sind ; oder aber man könnte sich auch überlegen , was in einem größeren Rahmen wie der Welthandelsorganisation unternommen werden könnte , wenn diese speziell für die Behandlung von Wettbewerbsfragen und - problemen ausgerüstet wäre .
Möglichkeit ausfindig machen	Literal,Literal,Literal	Literal	Doch meine wichtigste derzeitige Sorge ist nicht , wie wir von A nach Z kommen - dies erscheint oftmals viel einfacher als den Weg von A nach B zu finden - , sondern unsere Aufgabe besteht darin ( unabhängig davon , worin die langfristige Zielsetzung besteht ) , bessere Möglichkeiten zur Verwaltung unserer Außenhilfe direkt ausfindig zu machen .
sich um Möglichkeit bemühen	Literal,Literal,Literal	Literal	Kurz gesagt , haben wir uns intensiv und mit Erfolg um kreative Möglichkeiten zur Verbesserung der Wirtschaftslage im Kosovo bemüht und werden dies auch weiterhin tun .
sich um Lösung bemühen	Literal,Literal,Literal	Literal	Letzten Endes müssen jedoch wir Politiker uns um eine demokratische politische Lösung des Problems bemühen .
Meisterung Herausforderung	Literal,Figurative,Literal	Literal	Durch die Analyse der Antworten , die bei uns eingehen , können wir Strategien auf EU-Ebene entwickeln , um die Mitgliedstaaten bei der Meisterung dieser Herausforderungen zu unterstützen .
Frage angehen	Figurative,Figurative,Literal	Figurative	Jeder wird zustimmen , dass politische Gewalt mit politischen Mitteln überwunden werden muss , doch kann mir der Berichterstatter sagen , wie ich als einzelner Abgeordneter diese interne Frage der Europäischen Union auf die Tagesordnung dieses Hohen Hauses setzen kann , um diese dringende und wichtige Frage anzugehen ?
Thema verankern	Figurative,Figurative,Figurative	Figurative	Als ehemaliger Entwicklungsminister vertrete ich die Ansicht , daß das Mainstreaming auf diese Themen selbst angewendet und sie fest in der Ausbildung verankert werden sollten , anstatt sie als optionale Zusätze zu behandeln .
Religion ausüben	Literal,Literal,Literal	Literal	Herr Präsident ! Ich möchte Herrn van den Bos zu seinem Bericht beglückwünschen , aber auch ganz kategorisch feststellen , dass wir neben der Religionsfreiheit ebenso entschlossen für die Gewissensfreiheit eintreten müssen und , Herr Gahler erwähnte es bereits , auch für die Freiheit , keine Religion auszuüben .
Problem behoben	Figurative,Literal,Literal	Literal	Am 15 . Januar legte die Regierung ein ehrgeiziges Stabilitätsprogramm vor , mit dem diese Probleme behoben werden sollen .
Ding angehen	Figurative,Figurative,Literal	Figurative	Herr Präsident , dieser Bericht bemüht sich sehr ehrlich , die Dinge anzugehen , aber in sehr traditionellen Bereichen , und er wirft einige Grundsatzfragen auf , auf die ich eingehen möchte .
am Ende Aussprache	Literal,Literal,Literal	Literal	Ich bitte Herrn Patten , der am Ende der Aussprache auf dieses Thema eingehen wird , erstens klarzustellen , dass diese Fazilität zur weltweiten Reaktion auf Krisen und zur Unterstützung der entwicklungspolitischen Ziele der EU eingesetzt wird und nicht nur europäischen Ländern vor unserer Haustür zugute kommen wird .
Problem in Angriff nehmen	Figurative,Figurative,Figurative	Figurative	Aber und das ist ein entscheidender Punkt , den sie nicht erwähnt hat , es wird der Industrie und jedem Beteiligten Gelegenheit geben , das Problem auf breiter Front in Angriff zu nehmen , denn wir wissen , dass lediglich flexiblere Fahrzeugfronten bei einem Zusammenprall eine sekundäre Option sind .
Idee presentieren	Literal,Literal,Literal	Literal	In der Entschließung wird die Idee von einem Solidarbeitrag auf Flugscheine präsentiert , aber das sollte nicht der einzige Weg sein , und wie Frau Kinnock möchte ich andere Möglichkeiten vorschlagen .
Wachstum sorgen	Figurative,Figurative,Figurative	Figurative	Auch dank eines realen Exportanstiegs von 9 % wuchs sie um 4 % , aber eine erfolgreiche Doha-Entwicklungsagenda , die die Hindernisse für den Handel in Angriff nimmt , wird für weltweites Wachstum auch in den künftigen Jahren sorgen .
um Problem gehen	Figurative,Literal,Figurative	Figurative	Dadurch ist es zu Enttäuschungen gekommen , aber Kommissar Nielson geht diese Probleme entschlossen an .
Idee in den Raum stellen	Figurative,Figurative,Figurative	Figurative	Wir haben in diesem Zusammenhang auch die Idee in den Raum gestellt , einen Reserveausgleichsfonds einzurichten , was jedoch nicht als Forderung unsererseits oder seitens der Kommission aufgefasst werden soll .
Problem lösen	Literal,Literal,Literal	Literal	Das sind die entscheidenden Probleme , die wir lösen müssen .
mit Problem fertigwerden	Figurative,Literal,Literal	Literal	Angesichts der Tatsache , daß 80 % der europäischen Bevölkerung in Städten wohnen , tun wir recht daran , unsere am meisten benachteiligten Gemeinden dabei zu unterstützen , mit den allzu bekannten Problemen von Armut , sozialer Ausgrenzung , Arbeitslosigkeit , Kriminalität , Drogenabhängigkeit und allen damit verbundenen Problemen fertigzuwerden .
Pensum vornehmen	Figurative,Literal,Literal	Literal	In dem von ihr vorgeschlagenen Aktionsplan hat sich die EU also ein enormes Pensum vorgenommen .
Pflegekräfte anziehen	Figurative,Figurative,Figurative	Figurative	Wir versuchen daher , Pflegekräfte aus anderen Ländern anzuziehen , um unsere eigenen Probleme zu lösen .
sich mit Frage befassen	Figurative,Literal,Figurative	Figurative	Der Bericht von Frau Karamanou hat klar gezeigt , daß der Gegenstand der Rückübernahmeregelungen zwischen den Mitgliedstaaten der Europäischen Union , obwohl es sich um ein sehr technisches und spezifisches Problem handelt , doch einige besonders sensible politische Fragen berührt , die einfach einer sorgfältigeren Reflektion und Vorbereitung bedürfen , ehe sich die Union erneut damit befaßt .
Bekämpfung Krise	Figurative,Figurative,Figurative	Figurative	Und schließlich müssen wir uns weiterhin auf die Bekämpfung der Wirtschaftskrise konzentrieren .
Herausforderung bewältigen	Figurative,Literal,Literal	Literal	Wir müssen gemeinsam diese Herausforderungen bewältigen und diese Chancen nutzen , weil wir ein gemeinsames Interesse am Erfolg der Union haben .
Herausforderung begegnen	Figurative,Literal,Figurative	Figurative	Nur gemeinsam , und nur durch effektivere Arbeit , ist die Europäische Union in der Lage , den Herausforderungen der globalisierten Welt zu begegnen .
Problem behandeln	Literal,Literal,Literal	Literal	Ich stimme für diesen Initiativbericht , da er die aktuellen Probleme in der Endlosdebatte über die Ratingindustrie behandelt : Im Einzelnen sind das der mangelnde Wettbewerb , oligopolistische Strukturen sowie das Fehlen von Rechenschaftspflicht und Transparenz , insbesondere in Bezug auf Staatsschulden .
Kreilauf durchbrechen	Figurative,Figurative,Figurative	Figurative	Dies wird der Fall sein , wenn die Gewalt nicht erneut ausbricht , und ich glaube , dass die internationale Friedenstruppe den Kreislauf der Gewalt durchbrechen könnte .
Sorge behandeln	Figurative,Figurative,Literal	Figurative	Ich bin mir sicher , dass meine Kolleginnen , Frau Malmström und Frau Reding , darauf achten werden , wie diese Sorgen , die in dieser Debatte und im strukturellen Dialog , den sie mit ihren entsprechenden Ausschüssen geführt haben , behandelt werden .
Abschluss Debatte	Figurative,Literal,Literal	Literal	Frau Lynne hätte um die Erlaubnis zum Abschluß der Debatte zur Frage des britischen Rindfleischs mit Entschließungsanträgen der verschiedenen Fraktionen gebeten .
Herausforderung angehen	Figurative,Figurative,Literal	Figurative	Wir wollen alle Herausforderungen ehrgeizig und umfassend angehen .
Geld überweisen	Literal,Literal,Literal	Literal	Das Vereinigte Königreich wird weiterhin wachsende Geldmengen nach Brüssel überweisen , aber der eine Bereich , in den ein Teil dieses Geldes zurückfließt - wenn auch sehr wenig - ist der Bereich , in dem die Kommission den Rotstift ansetzen möchte .
Bewältigung Herausforderung	Figurative,Literal,Literal	Literal	Die Ratspräsidentschaft brauchte die Unterstützung des Europäischen Parlaments bei der Bewältigung der Herausforderungen , mit denen wir konfrontiert waren .
Schwierigkeit eingehen	Figurative,Literal,Figurative	Figurative	Allerdings bin ich zuversichtlich , dass die Verordnung , die wir heute vorstellen , auf viele der Schwierigkeiten eingeht , von denen wir bei der Vorbereitung der Verordnung gedacht haben , dass sie auftreten könnten .
Frage stellen	Literal,Literal,Figurative	Literal	Daher möchte ich den Abgeordneten bitten , mir die Fragen zu geben , die er gerne an die Agentur der Europäischen Union für Grundrechte stellen möchte und ich werde mich darum kümmern , dass dies auf eine positive Weise erledigt wird .
Information verdauen	Figurative,Figurative,Figurative	Figurative	Über diesen Vertrag muss vor Ende 2002 kein Beschluss gefasst werden , und dennoch drängt die irische Regierung das irische Volk , darüber abzustimmen . Dabei hatte es nur etwa drei Wochen Zeit , um das ihm vorgesetzte Minimum an Information zu verdauen .
Debatte beenden	Literal,Literal,Literal	Literal	Herr Präsident , mir ist klar , dass die Debatte beendet ist , aber ich bin hier und bin bereit , sie fortzusetzen .
sich auf Möglichkeit einigen	Literal,Literal,Literal	Literal	Am 13 . und 14 . März wird in Paris eine Konferenz stattfinden , bei der es um die Zukunft der Entwicklungshilfe für Äthiopien gehen wird . Dabei wird man sich auf neue Möglichkeiten einigen , um der armen Bevölkerung in Äthiopien direkt zu helfen , ohne die entsprechenden Mittel direkt an die Regierung zu übergeben .
Inangriffnahme Aufgabe	Figurative,Figurative,Figurative	Figurative	Die Politik der kontinuierlichen Fortschritte und der kleinen und gemeinsamen Schritte in den Beziehungen zwischen der EU und der Ukraine hat sich in dem Jahr , das seit der „ Revolution in Orange `` vergangen ist , erfolgreich bewährt und wird uns die Inangriffnahme weiterer großer Aufgaben ermöglichen .
Beseitigung Problem	Figurative,Figurative,Literal	Figurative	Die Sportbewegung bittet die Europäischen Institutionen bei der Beseitigung der Probleme , die durch die Spielervermittler hervorgerufen werden , um Hilfe .
